ID.	PopId	Indicator	SpeciesId	GFE_ID	SYSTEM_SITE	Source	popMAP	EXPN	YLAT	XLONG	FAZ_ACRO	MAZ_ACRO	JAZ_ACRO	CU_fname	CU_facro	CU_findex	CU_NAME	CU_ACRO	CU_INDEX	Area	ISENH	IS_INDICATOR	IsInFiltEsc	nrecs	nins	npres	nnumest	pinsrec	ppres_ins	pest_pres	fr_timing	OL_GRP_NM	Fraser_mnemonic	CD_findex.name	StatArea	Reviewer	QA	Method	Race	WildCode	WildRigor	IndexId	PopId.1	SpeciesId2	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
	9857		Steelhead		CHILCOTIN RIVER									Mid Fraser Summer	780	780	780	780	780																																																																														960	1435	677	581	1022	494	1152	715	893	586	936	1531	1133	3149	1992	2328	2342	610	403	466	542	1546	917	830	518	1373	672	744	739	1258	1114	917	254	384	552	374	158	350	144	374	307	374	955	418	134	187	77	120	38	19	
	9860		Steelhead		THOMPSON RIVER									Thompson Summer	781	781	781	781	781																																																																																				1666	1666	952	1247	1190	2857	1120	3510	2330	1680	1500	1670	1200	1200	900	2960	2660	2590	1020	3000	1470	2520	1500	1810	3160	1480	950	2440	1660	740	1160	690	590	520	1000	1090	1300	850	360	240	150	240	257	203	
	9995		Steelhead		KEOGH RIVER									East Vancouver Island Winter	981	981	981	981	981																																																																																		859	625	706	299	209	608	938	2730	1344	580	1237	2939	1778	1290	1374	277	540	240	193	332	106	62	25	85	148	195	115	141	85	102	118	110	78	62	54	72	118	143	161	186	133	151	35	65	119	32	63
	9712		Steelhead		UPPER SUSTUT RIVER									Upper Sustut	281	281	281	281	281																																																																																																				584	467	466	649	1064	731	377	756	812	1115	1042	268	133	263	193	1162	1050	1186	1073	988	895	943	1532	1005	299	670	233	135	181
	9724		Steelhead		BULKLEY RIVER									Buckley	287	287	287	287	287																																																																																																									28527	41428	15948	25398	12150	15670	15341	15138	19073	27484	24973	41140	19149	27465										
	9919		Steelhead		CHEAKAMUS RIVER									South Coast Winter	980	980	980	980	980																																																																																																						173	111		162	78	322	440	317	345	336	320	541	345	115	629	605	395	943	545	579	512	711	384	422	632		
	10272		Steelhead		ATNARKO RIVER									Transition Summer	683	683	683	683	683																																																																																			154					90									93				46	100			452	151	540	294	184	350		324																
	10271		Steelhead		INKANEEP CREEK									Mid Columbia Summer	1380	1380	1380	1380	1380																																																																																																																64		59	20	77	2											
	9856		Steelhead		BRIDGE RIVER									Mid Fraser Summer	780	780	780	780	780																																																																																																										155														238	59	26	14	50				
	9750		Steelhead		MEZIADIN RIVER									Nass Summer	480	480	480	480	480																																																																																																				8	11	8	3	33	15	49	72	41	30	58	85	39	32	29	18	81	12	34	23	28	3	7	5	9	6	7	6	
