OBJECTID,stream_name,parkinson2005cu,run_timing_full,COL_H,latitude,longitude,coord_uncertainty,Comments/Alternate,coord_source,
207,FOCH RIVER,N. Coast Winter,Winter,,-129.10335,-129.10335,M,,ArcGIS world geocoding service ,
259,TSOLUM RIVER,E. Vancouver Is. Winter,Winter,,-124.98614,-124.98614,M,,ArcGIS world geocoding service ,
283,KIRBY CREEK,W. Vancouver Is. Winter,Winter,,48.38291,-123.90264,M,,ArcGIS world geocoding service ,
281,TUGWELL CREEK,W. Vancouver Is. Winter,Winter,,48.38292,-123.85263,M,,ArcGIS world geocoding service ,
282,MUIR CREEK,W. Vancouver Is. Winter,Winter,,48.38586692,-123.8636185,H,,FWA Streams_Line_BC,
280,SOOKE RIVER,W. Vancouver Is. Winter,Winter,,48.43808961,-123.7187532,H,,FWA Streams_Line_BC,
287,WALBRAN CREEK,W. Vancouver Is. Winter,Winter,,48.58121649,-124.6545481,H,,FWA Streams_Line_BC,
284,SAN JUAN RIVER,W. Vancouver Is. Winter,Winter,,48.58353321,-124.2666795,H,,FWA Streams_Line_BC,
365,MERCER CREEK,Queen Charlotte Is. Winter,Winter,,48.5857,-124.13047,M,,ArcGIS world geocoding service ,
286,GORDON RIVER,W. Vancouver Is. Summer,Summer,,48.59632264,-124.4318171,H,,FWA Streams_Line_BC,
285,HARRIS CREEK,W. Vancouver Is. Summer,Summer,,48.60677493,-124.2487827,H,,FWA Streams_Line_BC,
288,CARMANAH CREEK,W. Vancouver Is. Winter,Winter,,48.65373232,-124.6934865,H,,FWA Streams_Line_BC,
289,CHEEWHAT RIVER,W. Vancouver Is. Summer,Summer,,48.6720303,-124.777386,H,,FWA Streams_Line_BC,
248,COWICHAN RIVER,E. Vancouver Is. Winter,Winter,,48.76364357,-123.7931872,H,,FWA Streams_Line_BC,
254,FRENCH CREEK,E. Vancouver Is. Winter,Winter,,48.76364357,-123.7931872,H,,FWA Streams_Line_BC,
291,KLANAWA RIVER,W. Vancouver Is. Summer,Summer,,48.76654048,-124.9082314,H,,FWA Streams_Line_BC,
292,PACHENA RIVER,W. Vancouver Is. Winter,Winter,,48.80132462,-125.1220792,H,,FWA Streams_Line_BC,
249,CHEMAINUS RIVER,E. Vancouver Is. Summer,Summer,,48.85605561,-123.9700265,H,,FWA Streams_Line_BC,
255,LITTLE QUALICUM RIVER,E. Vancouver Is. Winter,Winter,,48.85605561,-123.9700265,H,,FWA Streams_Line_BC,
290,NITINAT RIVER,W. Vancouver Is. Winter,Winter,,48.87988967,-124.6046856,H,,FWA Streams_Line_BC,
293,SARITA RIVER,W. Vancouver Is. Winter,Winter,,48.88858351,-124.9893517,H,,FWA Streams_Line_BC,
294,south SARITA RIVER,W. Vancouver Is. Summer,Summer,,48.89541,-124.96529,M,,ArcGIS world geocoding service ,
307,MAGGIE RIVER,W. Vancouver Is. Winter,Winter,,48.99025426,-125.3968234,H,,FWA Streams_Line_BC,
308,LOST SHOE CREEK,W. Vancouver Is. Winter,Winter,,48.99961,-125.63615,M,,ArcGIS world geocoding service ,
295,COLEMAN CREEK,W. Vancouver Is. Winter,Winter,,49.00438392,-124.8576216,H,,FWA Streams_Line_BC,
306,TOQUART RIVER,W. Vancouver Is. Summer,Summer,,49.03648264,-125.3584989,H,,FWA Streams_Line_BC,
250,NANAIMO RIVER,E. Vancouver Is. Winter,Winter,,49.07176248,-123.9968625,H,,FWA Streams_Line_BC,
256,QUALICUM RIVER,E. Vancouver Is. Winter,Winter,,49.07176248,-123.9968625,H,,FWA Streams_Line_BC,
103,NICOMEKL RIVER,Boundary Bay Winter,Winter,,49.07403629,-122.834426,H,,FWA Streams_Line_BC,
