region,steam_name,run_timing,min_spawners_seed_hc,spawners_r_max_beverton,spawners_r_max_ricker,spawners_smsy,source
nass,Kincolith,winter,294,,,,bocking 2005
nass,Iknouk,winter,174,,,,bocking 2005
nass,Keazoah,winter,0,,,,bocking 2005
nass,Anliyen (Greenville),winter,9,,,,bocking 2005
nass,Diskangieq,winter,43,,,,bocking 2005
nass,Anudol,winter,38,,,,bocking 2005
nass,Inieth,winter,0,,,,bocking 2005
nass,Cugiladap,winter,0,,,,bocking 2005
nass,Wegiladap,winter,4,,,,bocking 2005
nass,Wilyayaanooth,winter,0,,,,bocking 2005
nass,Giswatz,winter,0,,,,bocking 2005
nass,Gingietl,winter,0,,,,bocking 2005
nass,Gish,winter,0,,,,bocking 2005
nass,Chemainuk,winter,82,,,,bocking 2005
nass,Burton,winter,2,,,,bocking 2005
nass,Monkley,winter,35,,,,bocking 2005
nass,Chambers,winter,33,,,,bocking 2005
nass,Welda,winter,0,,,,bocking 2005
nass,Quilgauw,winter,29,,,,bocking 2005
nass,Ishkheenickhh,winter,407,,,,bocking 2005
nass,Ginlulak,winter,20,,,,bocking 2005
nass,Kwiniak (Ksedin),winter,247,,,,bocking 2005
nass,Ksemamaith,winter,22,,,,bocking 2005
nass,Ansedegan,winter,8,,,,bocking 2005
nass,Kwinyarh,winter,0,,,,bocking 2005
nass,Zolzap,winter,27,,,,bocking 2005
nass,Total Winter Streams (All Systems),winter,1473,,,,bocking 2005
nass,Total Winter Streams (Confirmed),winter,1204,,,,bocking 2005
nass,Tseax,both,166,,,,bocking 2005
nass,Seaskinnish,both,144,,,,bocking 2005
nass,Gitwinksihlkw Ck,both,0,,,,bocking 2005
nass,Total Sympatric Streams (Confirmed),both,310,,,,bocking 2005
nass,Total Sympatric Streams (All Systems),both,310,,,,bocking 2005
nass,Shumal,summer,102,,,,bocking 2005
nass,Kwinamuck,summer,0,,,,bocking 2005
nass,Kwinatahl,summer,86,,,,bocking 2005
nass,Kshadin,summer,0,,,,bocking 2005
nass,Tchitin,summer,247,,,,bocking 2005
nass,Kinskuch,summer,14,,,,bocking 2005
nass,Paw,summer,221,,,,bocking 2005
nass,Brown Bear,summer,2,,,,bocking 2005
nass,Van Dyke Ck,summer,2,,,,bocking 2005
nass,White,summer,660,,,,bocking 2005
nass,Meziadin,summer,111,,,,bocking 2005
nass,Cranberry Main,summer,1408,,,,bocking 2005
nass,Cranberry-Kiteen,summer,973,,,,bocking 2005
nass,Bell-Irving (Below Bowser),summer,1302,,,,bocking 2005
nass,Bell-Irving (Bowser to Teigen),summer,2524,,,,bocking 2005
nass,Bell-Iriving (Above Teigen),summer,1386,,,,bocking 2005
nass,Bowser,summer,738,,,,bocking 2005
nass,Taft,summer,266,,,,bocking 2005
nass,Treaty,summer,515,,,,bocking 2005
nass,Teigen,summer,808,,,,bocking 2005
nass,Hodder,summer,219,,,,bocking 2005
nass,Kwinageese,summer,316,,,,bocking 2005
nass,Saladamis,summer,66,,,,bocking 2005
nass,Sanyam,summer,2,,,,bocking 2005
nass,Sanskisoot,summer,72,,,,bocking 2005
nass,Taylor,summer,748,,,,bocking 2005
nass,Sallysout,summer,14,,,,bocking 2005
nass,Vile,summer,146,,,,bocking 2005
nass,Kotsinka,summer,89,,,,bocking 2005
nass,Damdochax,summer,552,,,,bocking 2005
nass,Muskaboo,summer,883,,,,bocking 2005
nass,Panorama,summer,173,,,,bocking 2005
