Region,Stream,Ecotype,Season,Responses,^Anglers,^Days,^Wild_Kept,^Wild_Rel,^Hatch_Kept,^Hatch_Rel,^Wild_Tot,^Hatch_Tot,^Kept_Tot,^Rel_Tot,^Catch_Tot,New WSC
1,ADAM RIVER,SW,1967/1968,UN,16,28,24,0,0,0,24,0,24,0,24,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1968/1969,UN,35,1355,60,0,0,0,60,0,60,0,60,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1969/1970,UN,36,91,16,0,0,0,16,0,16,0,16,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1970/1971,UN,51,164,67,12,0,0,79,0,67,12,79,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1971/1972,UN,25,131,66,30,0,0,96,0,66,30,96,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1972/1973,UN,27,69,21,0,0,0,21,0,21,0,21,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1973/1974,UN,44,217,35,33,0,0,68,0,35,33,68,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1974/1975,UN,24,81,37,30,0,0,67,0,37,30,67,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1975/1976,UN,31,69,10,20,0,0,30,0,10,20,30,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1976/1977,UN,35,120,39,51,0,0,90,0,39,51,90,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1977/1978,UN,24,58,12,21,0,0,33,0,12,21,33,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1978/1979,UN,29,107,8,45,0,0,53,0,8,45,53,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1979/1980,UN,29,50,13,27,0,0,40,0,13,27,40,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1980/1981,UN,14,25,3,22,0,0,25,0,3,22,25,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1981/1982,UN,12,36,2,46,0,0,48,0,2,46,48,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1982/1983,1,4,13,0,13,0,0,13,0,0,13,13,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1983/1984,4,17,68,0,94,0,0,94,0,0,94,94,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1984/1985,5,16,26,0,33,0,0,33,0,0,33,33,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1985/1986,4,12,39,0,96,0,0,96,0,0,96,96,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1986/1987,7,25,82,0,229,5,5,229,10,5,234,239,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1987/1988,4,13,17,0,2,0,0,2,0,0,2,2,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1988/1989,4,19,50,0,96,0,0,96,0,0,96,96,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1989/1990,11,43,86,0,87,0,0,87,0,0,87,87,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1990/1991,12,40,83,0,165,0,0,165,0,0,165,165,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1991/1992,12,45,82,0,84,0,5,84,5,0,89,89,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1992/1993,11,35,142,0,21,3,0,21,3,3,21,24,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1993/1994,6,25,128,0,11,0,0,11,0,0,11,11,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1994/1995,9,27,57,0,65,0,0,65,0,0,65,65,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1995/1996,10,30,46,0,14,0,0,14,0,0,14,14,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1996/1997,2,5,32,0,0,0,0,0,0,0,0,0,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1997/1998,3,10,19,0,14,0,0,14,0,0,14,14,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1998/1999,5,21,63,0,101,0,0,101,0,0,101,101,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,1999/2000,5,18,57,0,22,0,0,22,0,0,22,22,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,2000/2001,3,11,22,0,59,0,0,59,0,0,59,59,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,2001/2002,3,10,20,0,0,0,0,0,0,0,0,0,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,2002/2003,6,22,68,0,4,0,0,4,0,0,4,4,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,2003/2004,1,2,7,0,2,0,0,2,0,0,2,2,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,2004/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,2005/2006,1,3,3,0,5,0,0,5,0,0,5,5,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
1,ADAM RIVER,SW,2006/2007,5,21,34,0,6,0,0,6,0,0,6,6,920-758000-00000-00000-0000-0000-000-000-000-000-000-000
