year,species,life_stage,sex,method,N_wild,N_025,N_975,Resistivity_confidence,Comments
1998,CO,adult,,resistivity ,8246,NA,NA,,Would be nice to have NA for blank cells to confirm that they do not exist and are not just forgotten
1999,CO,adult,,resistivity ,2800,,,,
2000,CO,adult,,resistivity ,1170,,,,
2001,CO,adult,,resistivity ,2075,,,,
2002,CO,adult,,resistivity ,3112,,,,
2003,CO,adult,,resistivity ,1112,,,,
2004,CO,adult,,resistivity ,1106,,,,
2005,CO,adult,,resistivity ,3200,,,,
2006,CO,adult,,resistivity ,1759,,,,
2007,CO,adult,,resistivity ,2633,,,,
2008,CO,adult,,resistivity ,872,,,,
2009,CO,adult,,resistivity ,3261,,,,
2010,CO,adult,,resistivity ,1970,,,,
2011,CO,adult,,resistivity ,1645,,,,
2012,CO,adult,,resistivity ,4615,,,,
2013,CO,adult,,resistivity ,5369,,,,
2014,CO,adult,,resistivity ,9465,,,,
2015,CO,adult,,resistivity ,748,,,,
2016,CO,adult,,resistivity ,230,,,,
2017,CO,adult,,resistivity ,279,,,,
2018,CO,adult,,resistivity ,993,,,,
2019,CO,adult,,resistivity ,683,,,,
2020,CO,adult,,resistivity ,3030,,,,
1976,WST,adult,,MR,859,709,1057,,
1977,WST,adult,,MR,625,511,799,,
1978,WST,adult,,MR,706,522,1098,,
1979,WST,adult,,MR,299,254,365,,
1980,WST,adult,,MR,209,172,268,,
1981,WST,adult,,MR,608,498,773,,
1982,WST,adult,,MR,938,764,1197,,
1983,WST,adult,,MR,2730,1917,4509,,
1984,WST,adult,,MR,1344,1144,1623,,
1985,WST,adult,,MR,580,451,807,,
1986,WST,adult,,MR,1237,1014,1603,,
1987,WST,adult,,MR,2939,2211,4271,,
1988,WST,adult,,MR,1778,1330,2653,,
1989,WST,adult,,MR,1290,1081,1643,,
1990,WST,adult,,MR,1374,1068,1808,,
1991,WST,adult,,MR,277,155,540,,
1992,WST,adult,,MR,540,335,745,,
1993,WST,adult,,MR,240,158,450,,
1994,WST,adult,,MR,193,129,332,,
1995,WST,adult,,MR,332,239,522,,
1996,WST,adult,,MR,106,52,168,,
1997,WST,adult,,MR,62,19,112,,
1998,WST,adult,,MR,25,NA,NA,,
1999,WST,adult,,MR,85,53,126,,
2000,WST,adult,,MR,148,73,234,,
2001,WST,adult,,MR,195,70,458,,
2002,WST,adult,,MR,115,67,202,,
2003,WST,adult,,MR,141,58,350,,
2004,WST,adult,,MR,85,35,211,,
2005,WST,adult,,MR,102,32,186,,
2006,WST,adult,,MR,118,41,227,,
2007,WST,adult,,MR,110,40,223,,
2008,WST,adult,,MR,78,23,160,,
2009,WST,adult,,MR,62,18,78,,
2010,WST,adult,,MR,54,14,54,,
2011,WST,adult,,MR,72,22,153,,
2012,WST,adult,,MR,118,43,232,,
2013,WST,adult,,MR,143,39,211,,
2014,WST,adult,,MR,161,76,366,,
2015,WST,adult,,MR,186,117,255,,
2016,WST,adult,,MR,133,35,213,,
2017,WST,adult,,MR,151,88,306,,
2018,WST,adult,,MR,35,18,97,,
2014,WST,adult,,resistivity ,232,NA,NA,medium,No video validation but no outages
2015,WST,adult,,resistivity ,252,NA,NA,medium,No video validation but no outages
2016,WST,adult,,resistivity ,79,NA,NA,High,Video validation
2017,WST,adult,,resistivity ,32,NA,NA,Low,Resistivity counter out for 48 days during migration
2018,WST,adult,,resistivity ,37,NA,NA,High,Video validation
2019,WST,adult,,resistivity ,38,NA,NA,High,Video validation
2019,WST,adult,,MR,65,19,128,,
2020,WST,adult,,resistivity ,25,NA,NA,High,Video validation
2020,WST,adult,,MR,119,49,343,,
2021,WST,adult,,resistivity ,32,,,high,video validation
1997,CO,juvenile (smolt),,fence,64557,,,,
1998,CO,juvenile (smolt),,fence,22193,,,,
1999,CO,juvenile (smolt),,fence,51000,,,,
2000,CO,juvenile (smolt),,fence,74400,,,,
2001,CO,juvenile (smolt),,fence,59931,,,,
2002,CO,juvenile (smolt),,fence,60044,,,,
2003,CO,juvenile (smolt),,fence,93578,,,,
2004,CO,juvenile (smolt),,fence,22428,,,,
2005,CO,juvenile (smolt),,fence,58900,,,,
2006,CO,juvenile (smolt),,fence,50403,,,,
2007,CO,juvenile (smolt),,fence,56187,,,,
2008,CO,juvenile (smolt),,fence,72064,,,,
2009,CO,juvenile (smolt),,fence,77822,,,,
2010,CO,juvenile (smolt),,fence,61495,,,,
2011,CO,juvenile (smolt),,fence,89788,,,,
2012,CO,juvenile (smolt),,fence,108063,,,,
2013,CO,juvenile (smolt),,fence,111042,,,,
2014,CO,juvenile (smolt),,fence,66765,,,,
2015,CO,juvenile (smolt),,fence,111718,,,,
2016,CO,juvenile (smolt),,fence,91582,,,,
2017,CO,juvenile (smolt),,fence,81502,,,,
2018,CO,juvenile (smolt),,fence,65081,,,,
2019,CO,juvenile (smolt),,fence,74499,,,,
2020,CO,juvenile (smolt),,fence,87584,,,,
2021,CO,juvenile (smolt),,fence,129231,,,,
1977,WST,juvenile (smolt),,fence,2344,,,,
1978,WST,juvenile (smolt),,fence,2104,,,,
1979,WST,juvenile (smolt),,fence,6900,,,,
1980,WST,juvenile (smolt),,fence,5500,,,,
1981,WST,juvenile (smolt),,fence,11897,,,,
1982,WST,juvenile (smolt),,fence,4000,,,,
1983,WST,juvenile (smolt),,fence,6053,,,,
1984,WST,juvenile (smolt),,fence,9726,,,,
1985,WST,juvenile (smolt),,fence,9309,,,,
1986,WST,juvenile (smolt),,fence,9823,,,,
1987,WST,juvenile (smolt),,fence,13881,,,,
1988,WST,juvenile (smolt),,fence,3328,,,,
1989,WST,juvenile (smolt),,fence,4246,,,,
1990,WST,juvenile (smolt),,fence,3133,,,,
1991,WST,juvenile (smolt),,fence,5974,,,,
1992,WST,juvenile (smolt),,fence,7143,,,,
1993,WST,juvenile (smolt),,fence,5178,,,,
1994,WST,juvenile (smolt),,fence,1461,,,,
1995,WST,juvenile (smolt),,fence,1466,,,,
1996,WST,juvenile (smolt),,fence,1520,,,,
1997,WST,juvenile (smolt),,fence,1309,,,,
1998,WST,juvenile (smolt),,fence,953,,,,
1999,WST,juvenile (smolt),,fence,2200,,,,
2000,WST,juvenile (smolt),,fence,2344,,,,
2001,WST,juvenile (smolt),,fence,2010,,,,
2002,WST,juvenile (smolt),,fence,1892,,,,
2003,WST,juvenile (smolt),,fence,4865,,,,
2004,WST,juvenile (smolt),,fence,511,,,,
2005,WST,juvenile (smolt),,fence,4676,,,,
2006,WST,juvenile (smolt),,fence,2051,,,,
2007,WST,juvenile (smolt),,fence,965,,,,
2008,WST,juvenile (smolt),,fence,1455,,,,
2009,WST,juvenile (smolt),,fence,1561,,,,
2010,WST,juvenile (smolt),,fence,1889,,,,
2011,WST,juvenile (smolt),,fence,1638,,,,
2012,WST,juvenile (smolt),,fence,3193,,,,
2013,WST,juvenile (smolt),,fence,2620,,,,
2014,WST,juvenile (smolt),,fence,2382,,,,
2015,WST,juvenile (smolt),,fence,2981,,,,
2016,WST,juvenile (smolt),,fence,2009,,,,
2017,WST,juvenile (smolt),,fence,2396,,,,
2018,WST,juvenile (smolt),,fence,1471,,,,
2019,WST,juvenile (smolt),,fence,2169,,,,
2020,WST,juvenile (smolt),,fence,2317,,,,
2021,WST,juvenile (smolt),,fence,2757,,,,
