updated_apr_24_2023,region,river,data_type ,file_name,source,source_contact ,external_link,dropbox_link ,notes,incorporated?,,
,bc,various,various ,BC_2004_Ahrens PLUS - Copy of Steelhead Summaries -For Clare_May2022,Sue Pollard,sue.pollard@gofishbc.com,,https://www.dropbox.com/s/pmfkqcymh1mfmyt/BC_2004_Ahrens%20PLUS%20-%20Copy%20of%20Steelhead%20Summaries%20-For%20Clare_May2022.csv?dl=0,"Ahrens 2004 with additions from Sue pollard - population characterisitics (watershed code, anadromous stream length, mean watershed area, etc.) ",,,
,bc,various,hatchery releases,BC_2022_Hatchery_FISH_RELEASES_PUBLIC_VW_June_8_2022_dowload,Freshwater Fisheries Society ,sue.pollard@gofishbc.com,https://catalogue.data.gov.bc.ca/,https://www.dropbox.com/s/6kofhnbmsa8m0tu/BC_2022_Hatchery_FISH_RELEASES_PUBLIC_VW_June_8_2022_dowload.csv?dl=0,"Searched BC Data Catalogue with query ""fish releases"", selected ""Provincial Stocking Records"", downloaded all species in all natural freshwater bodies",,,https://catalogue.data.gov.bc.ca/dataset/provinical-fish-stocking-reports
,bc,various,angler catch,BC_2022_SteelheadHarvestAnalysis_estimates _2022_JoeDegisiMay2022,Joe DeGisi,Joe.DeGisi@gov.bc.ca,,https://www.dropbox.com/s/5ajgnh6pxq7i8ov/BC_2022_SteelheadHarvestAnalysis_estimates%20_2022_JoeDegisiMay2022.xlsx?dl=0,treated recreational catch data based on provincial anlger survey,,,
,columbia,okanagan,spawner abundance ,columbia_2021_OBMEP_STEELHEADSPAWNERABUNDANCE_202206,Okanogan Basin Monitoring and Evaluation Program,https://www.okanoganmonitoring.org/HRT/Grid,https://www.okanoganmonitoring.org/HRT/Grid,https://www.dropbox.com/s/lif9nmdypnfj72b/columbia_2021_OBMEP_STEELHEADSPAWNERABUNDANCE_202206.csv?dl=0,"up to 2022, includes all steelhead data collected for the Columbia, annual counts for ""subtotal of escapement to Canada""; downloaded from OBMEP website (just need to make an account); methods documented in annual reports on the same site (https://www.okanoganmonitoring.org/Reports/ViewReportsForType/6)",,,
,fraser,thompson chilcotin,escapement ,fraser_2021_ThompsonChilcotinEscapement_RobertBison_082021,"Rob Bison, Province of BC - Ministry of Forests, Fish and Wildlife, Kamloops Branch",Robert.Bison@gov.bc.ca,,https://www.dropbox.com/s/whq8no2jxnwu3xb/fraser_2021_ThompsonChilcotinEscapement_RobertBison_082021.xlsx?dl=0,,y,,
,skeena,skeena,escapement ,Skeena_2020_Tyee_Fisheries_Data_Daily_Index_downloaded_20220715,DFO,https://www.pac.dfo-mpo.gc.ca/fm-gp/northcoast-cotenord/archives-eng.html,https://www.pac.dfo-mpo.gc.ca/fm-gp/northcoast-cotenord/archives-eng.html,https://www.dropbox.com/s/u0kski387ov8t88/Skeena_2020_Tyee_Fisheries_Data_Daily_Index_downloaded_20220715.csv?dl=0,"only for one year, not data files, pdf",,,
,skeena,skeena,escapement ,Skeena_2020_Tyee_Fisheries_Data_Total_Index_downloaded_20220715,DFO,https://www.pac.dfo-mpo.gc.ca/fm-gp/northcoast-cotenord/archives-eng.html,https://www.pac.dfo-mpo.gc.ca/fm-gp/northcoast-cotenord/archives-eng.html,https://www.dropbox.com/s/jxswg124u469c79/Skeena_2020_Tyee_Fisheries_Data_Total_Index_downloaded_20220715.csv?dl=0,"only for one year, not data files, pdf",,,
,skeena,skeena,escapement ,"Skeena_2021__Tyee_Skeena Summer Steelhead Update to Sept 7, 21",Province of BC - Skeena Fish and Wildlife; DFO,https://www.pac.dfo-mpo.gc.ca/fm-gp/northcoast-cotenord/archives-eng.html,https://www.pac.dfo-mpo.gc.ca/fm-gp/northcoast-cotenord/archives-eng.html,https://www.dropbox.com/s/qbwkfe8l5f15xq6/Skeena_2021__Tyee_Skeena%20Summer%20Steelhead%20Update%20to%20Sept%207%2C%2021.xlsx?dl=0,online spreadsheet,,,
,vimi,various,spawner survey,vimi_2015_1997-2015_summer_SWIM_SUMMARY_downloadApril2022,Marine Data BC ,https://soggy2.zoology.ubc.ca:8443/geonetwork/srv/api/records/d3832567-c07f-48dc-9a5b-74b67e707614?language=eng,https://soggy2.zoology.ubc.ca:8443/geonetwork/srv/api/records/d3832567-c07f-48dc-9a5b-74b67e707614?language=eng,https://www.dropbox.com/s/qy93f1lzbzuhd9d/vimi_2015_1997-2015_summer_SWIM_SUMMARY_downloadApril2022.xlsx?dl=0,snorkel survey data,,,
,vimi,various,spawner survey,vimi_2015_2002-2015_winter_snorkelsurveys_download_april2022,Marine Data BC ,https://soggy2.zoology.ubc.ca:8443/geonetwork/srv/api/records/d3832567-c07f-48dc-9a5b-74b67e707614?language=eng,https://soggy2.zoology.ubc.ca:8443/geonetwork/srv/api/records/d3832567-c07f-48dc-9a5b-74b67e707614?language=eng,https://www.dropbox.com/s/i9mg6t02w0a7vih/vimi_2015_2002-2015_winter_snorkelsurveys_download_april2022.xlsx?dl=0,snorkel survey data,,,
,vimi,black creek,juvenile survey,vimi_2021_blackcreekfence_juvenilesteelhead_derek_022022,Derek LeBoeuf,derek.leboeuf@a-tlegay.ca,,https://www.dropbox.com/s/u1wv6nsncwk6yp5/vimi_2021_blackcreekfence_juvenilesteelhead_derek_022022.csv?dl=0,"black creek fence counting of outmigrating juveniles, 2015-2021, pit tagging since 2017",y,,
,vimi,keogh,juvenile surveys,vimi_2022_Keogh_instream_database__2022,Trevor Davies; EcoCat,Trevor.Davies@gov.bc.ca,,https://www.dropbox.com/s/nrkf4iojhjmez7u/vimi_2022_Keogh_instream_database__2022.xlsx?dl=0,spawner data for 1976-2022; juvenile data for 1977-2022,y,,
,vimi,keogh,spawner surveys,vimi_2022_Keogh_instream_database__2022,Trevor Davies; EcoCat,Trevor.Davies@gov.bc.ca,,https://www.dropbox.com/s/nrkf4iojhjmez7u/vimi_2022_Keogh_instream_database__2022.xlsx?dl=0,spawner data for 1976-2022; juvenile data for 1977-2022,y,,
,vimi,keogh,age structure,vimi_2022_Keogh_instream_database__2022,Trevor Davies; EcoCat,Trevor.Davies@gov.bc.ca,,https://www.dropbox.com/s/nrkf4iojhjmez7u/vimi_2022_Keogh_instream_database__2022.xlsx?dl=0,spawner data for 1976-2022; juvenile data for 1977-2022,,,
,vimi,keogh,marine survival,vimi_2022_Keogh_instream_database__2022,Trevor Davies; EcoCat,Trevor.Davies@gov.bc.ca,,https://www.dropbox.com/s/nrkf4iojhjmez7u/vimi_2022_Keogh_instream_database__2022.xlsx?dl=0,spawner data for 1976-2022; juvenile data for 1977-2022,,,
,skeena,upper sustut,spawner survey,Skeena_2019_UpperSustutRiverSteelheadEnumeration2018_data,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",,https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf,https://www.dropbox.com/s/s9auofyensaae8k/Skeena_2019_UpperSustutRiverSteelheadEnumeration2018_data.csv?dl=0,"weir, 1994-2018",y,,
,skeena,bulkley-morice,spawner surveys ,Skeena_2013_SKRConsultants_BulkleyMoriceSteelheadReport2012_data,"Saimoto, R. S. & R.K. Saimoto 2013. Summary report of Bulkley/Morice River steelhead data collected by the
Wet' suwet'en Fisheries during the 2012 Moricetown Tagging Project. Prepared by SKR Consultants Ltd., Final
Report submitted to B.C. Ministry of Forests, Land and Natural Resource Operations and The Pacific Salmon
Foundation.",,https://psf.ca/wp-content/uploads/2021/10/Download-PDF26-1.pdf,https://www.dropbox.com/s/ovgm7mf6kojiuii/Skeena_2013_SKRConsultants_BulkleyMoriceSteelheadReport2012.pdf?dl=0,mark-recapture; 199-2012,y,,
,vimi,cheakamus,egg deposition ,VIMI_2021_Korman&Schick_Cheakamus_Adult_and_Juvenile_SH_table4.4_eggdata,(Korman & Schick 2021): Cheakamus Project Water Use Plan Project: Synthesis of Adult and Juvenile Steelhead Data to Evaluate Effects of the WUP Flow Regime in the Cheakamus River,"Josh Korman and Jody Schick
Ecometric Research
3560 W 22nd Ave.
Vancouver, BC
V6S 1J3",https://www.bchydro.com/content/dam/BCHydro/customer-portal/documents/corporate/environment-sustainability/water-use-planning/lower-mainland/cmsmon-03-yr12-2021-07-27.pdf,https://www.dropbox.com/s/xd1w5ps70dh7tct/VIMI_2021_Korman%26Schick_Cheakamus_Adult_and_Juvenile_SH_table4.4_eggdata.csv?dl=0,"egg deposition based on female spawner sizes, est. fecundity, and sex ratio; also egg deposition of resident rainbow trout. Estimates of spawning stock that determine subsequent recruitment can be improved by accounting for inter annual variation in sex ratios and fecundity of spawners. To evaluate these factors for Cheakamus Steelhead, we computed egg deposition in years when information on sex ratio and female fork length were available from angling surveys. Annual egg deposition was computed as the product of total escapement, the proportion of the escapement made up of females, and fecundity.",,,
,vimi,cheakamus,spawner surveys ,VIMI_2021_Korman&Schick_Cheakamus_Adult_and_Juvenile_SH_table5.1_spawnerdata,(Korman & Schick 2021): Cheakamus Project Water Use Plan Project: Synthesis of Adult and Juvenile Steelhead Data to Evaluate Effects of the WUP Flow Regime in the Cheakamus River,"Josh Korman and Jody Schick
Ecometric Research
3560 W 22nd Ave.
Vancouver, BC
V6S 1J4",https://www.bchydro.com/content/dam/BCHydro/customer-portal/documents/corporate/environment-sustainability/water-use-planning/lower-mainland/cmsmon-03-yr12-2021-07-27.pdf,https://www.dropbox.com/s/0mdbtswnt7x2auj/VIMI_2021_Korman%26Schick_Cheakamus_Adult_and_Juvenile_SH_table5.1_spawnerdata.csv?dl=0,"Steelhead escapement to the Cheakamus River is estimated by a model which integrates data on raw counts from swim surveys, run-timing determined from radio telemetry, and mark-recapture to determine observer efficiency during swims (Korman et al. 2007, Korman and Schick 2017, Fig. 3.1). The area surveyed for returning Steelhead is limited to the upper 14.5 km of the anadromous portion of the river, and begins approximately 500 m below a natural barrier, extending to the confluence with the Cheekye River (Fig. 1.1). On each survey, a team of three divers floats the entire survey area and record the number of Steelhead, resident rainbow trout, and bull trout that are observed. These surveys have been conducted over 24 years between 1996 and 2020 (no surveys were conducted in 1997 due to disputes around the IFA).",y,,
,vimi,cheakamus,juvenile surveys,VIMI_2021_Korman&Schick_Cheakamus_Adult_and_Juvenile_SH_table6.1_juveniledata,(Korman & Schick 2021): Cheakamus Project Water Use Plan Project: Synthesis of Adult and Juvenile Steelhead Data to Evaluate Effects of the WUP Flow Regime in the Cheakamus River,"Josh Korman and Jody Schick
Ecometric Research
3560 W 22nd Ave.
Vancouver, BC
V6S 1J5",https://www.bchydro.com/content/dam/BCHydro/customer-portal/documents/corporate/environment-sustainability/water-use-planning/lower-mainland/cmsmon-03-yr12-2021-07-27.pdf,https://www.dropbox.com/s/oe1rfyekus4eykx/VIMI_2021_Korman%26Schick_Cheakamus_Adult_and_Juvenile_SH_table6.1_juveniledata.csv?dl=0,"The abundance of juvenile steelhead in the fall and spring is estimated by a combination of electrofishing and snorkel surveys (Korman et al. 2012). We used a multi-gear two-phase sampling design to estimate the abundance of age 0+-, 1+-, and 2+ juvenile steelhead in the Cheakamus and Brohm Rivers. Data from Brohm River provides a reference or control system to compare with results from the Cheakamus, which is influenced by flow regulation.

The abundance of Steelhead, Chinook, and coho smolts, as well as the abundance of Chinook, Pink, and Chum fry, are estimated using data from two Rotary Screw Traps (RST) located at river KM 5.5 adjacent to the North Vancouver Outdoor School (Melville et al. 2012, Fig. 1.1).",y,,
,central coast,bella coola,spawner surveys,CentralCoast_1999_English_LGL_BellaCoola_SSdata,"English et al. 1999 - ""Assessment of the Distribution, Timing, and Abundance of Adult Steelhead Returns to the Bella Coola River Watershed in 1997 and 1998""",,,https://www.dropbox.com/s/f950f849syx5b0i/CentralCoast_1999_English_LGL_BellaCoola_SSdata.csv?dl=0,Historical data for 2 years of snorkel survey pop estimates for Bella Coola (1997 and 1998),n,,
,central coast,bella coola,spawner surveys,CentralCoast_2006_Ptolemyetal_BellaCoola1988to2006_SSdata,"Ptolemy et al. 2006 ""Results of Steelhead Stock Monitoring (1988-2006) in the Bella Coola River and Implications for Population Recovery""",,,https://www.dropbox.com/s/5rv5ueuj8tcr7bh/CentralCoast_2006_Ptolemyetal_BellaCoola1988to2006_SSdata.csv?dl=0,Historical spawner survey data for the Atnarko trib of the Bella Coola river (1988-2006); snorkel surveys and aerial ,n,,
,columbia,Inkaneep Creek,spawner surveys,Columbia_2012_Wiens_SteelheadSpawnerEnumerationInkaneepCreek2011_SSdata,"Okanagan Nation Alliance, Wiens and Kozlova 2012 ""Steelhead Spawner Enumeration in aksk??k?ant (Inkaneep Creek) – 2011""",,,https://www.dropbox.com/s/golh2o0u95zw6mn/Columbia_2012_Wiens_SteelheadSpawnerEnumerationInkaneepCreek2011_SSdata.csv?dl=0,"Fence data, (2006-2011) but does not filter out RB trout counts",n,,
,central coast,bella coola,juvenile surveys,CentralCoast_2006_Ptolemyetal_BellaCoola1988to2006_juvenile_data,"Ptolemy et al. 2006 ""Results of Steelhead Stock Monitoring (1988-2006) in the Bella Coola River and Implications for Population Recovery"" Appendix 6 ",,,https://www.dropbox.com/s/cfscq5a1zg18941/CentralCoast_2006_Ptolemyetal_BellaCoola1988to2006_juvenile_data.csv?dl=0,reach-level fry density data for Bella Coola river (including Bella Coola and Atnarko Rivers); 1988-2005,n,,
,fraser,bridge,spawner surveys,Fraser_2001_Hagen_BridgeRiverSteelhead_SS_data,"Hagen 2001 ""Adult Steelhead (Oncorhynchus mykiss) habitat use and population size in the Bridge River, springtime 2000",,,https://www.dropbox.com/s/432oxpn06lsqzab/Fraser_2001_Hagen_BridgeRiverSteelhead_SS_data.csv?dl=0,AUC estimate of steelhead spawning population in 2000,y,,
,fraser,thompson chilcotin,stock recruitment,Fraser_2020_COSEWIC_IF_Steelhead_StatusReport_SR_data,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendices",,,https://www.dropbox.com/s/d9cow310murquqn/Fraser_2020_COSEWIC_IF_Steelhead_StatusReport_SR_data.csv?dl=0,"abundance, age composition, and recruitment; data provided to COSEWIC by R. Bison; Annual bycatch fishing mortality rate including impacts of salmon commercial and sport fisheries",y,,
,nass,various,spawner surveys,Nass_2022_LGL_Steelhead Stream Counts,"LGL: Richard Alexander, Ian Beveridge","ralexander@lgl.com, ibeveridge@lgl.com",,https://www.dropbox.com/s/l5q8fcl6t710q3w/Nass_2022_LGL_Steelhead%20Stream%20Counts.xlsx?dl=0,spawner survey data from 8 monitoring sites; data from 1994-2021,y,,
,fraser,seton,spawner surveys,Fraser_2020_Buchanan_setonriver_BCHydro_SS_data,"Buchanan et al. 2020 ""Bridge-Seton Water Use Plan Implementation Year 7 (2019): Seton River Habitat and Fish Monitoring"" pp. 75",,,https://www.dropbox.com/s/f5nlbxq1g6hrtcv/Fraser_2020_Buchanan_setonriver_BCHydro_SS_data.csv?dl=0,spawner survey data from one year of BC Hydro monitoring with resistivity counter,y,,
,fraser,seton,juvenile surveys,Fraser_2020_Buchanan_setonriver_BCHydro_juv,"Buchanan et al. 2020 ""Bridge-Seton Water Use Plan Implementation Year 7 (2019): Seton River Habitat and Fish Monitoring"" pp. 63",,,https://www.dropbox.com/s/61uuimcmfe7krg8/Fraser_2020_Buchanan_setonriver_BCHydro_juv.csv?dl=0,SH/RB juvenile survey data 2014-2019; electrofishing; abundance estimates using baysian probability distribution,y,,
,fraser,bridge,spawner surveys,Fraser_2021_White_Bridge_SS_data,"White et al. 2021 ""Bridge River Project Water Use Plan Lower Bridge River Adult Salmon and Steelhead Enumeration Implementation Year 8"" pp. 42",,,https://www.dropbox.com/s/k953ed6bgc3fes8/Fraser_2021_White_Bridge_SS_data.csv?dl=0,resistivity counter data 2014-2019,y,,
,fraser,thompson,juvenile surveys ,Fraser_2015_Decker_Thompson_juv,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,,https://www.dropbox.com/s/mync28j0yb0zu5r/Fraser_2015_Decker_Thompson_juv.csv?dl=0,juvenile survey data 2001-2012; snorkel surveys for age-1+ and 2+ steelhead parr,,,
,skeena,"kitwanga, morice, sustut, zymoetz",juvenile surveys ,Skeena_1993_1994_Bustard_Kitwanga_Morice_Sustut_Zymoetz_juv,"Bustard 1993 ""Juvenile Steelhead Surveys in the Kitwanga, Morice, Sustut, and Zymoetz Rivers 1992"" ",,,https://www.dropbox.com/s/wmhspc8feu88b4b/Skeena_1992_Bustard_Kitwanga_Morice_Sustut_Zymoetz_juv.csv?dl=0,"electrofishing juvenile surveys for Skeena rivers 1991-1992, includes raw counts and density estimates by age class (I think we should use densities?) ",y,,
,skeena,sustut,spawner surveys,Skeena_1997_Baxter_sustut_SS_data,"Baxter 1997 ""Upper Sustut, Lower Sustut, and Bear River Steelhead: Summary of Current Data and Status Review, 1997"" Table 6",,,https://www.dropbox.com/s/fzpgzwyx5w49tej/Skeena_1997_Baxter_sustut_SS_data.csv?dl=0,historical population estimates for the lower Sustut river up to 1997,y,,
,skeena,toboggan creek,spawner surveys,Skeena_2000_Mitchell_TobogganCreek_SS_data,"Mitchell 2000 ""2000 Toboggan Creek Steelhead Assessment"" Table 2",,,https://www.dropbox.com/s/skznkkhz4texo1v/Skeena_2000_Mitchell_TobogganCreek_SS_data.csv?dl=0,mark recapture estimates for 1993-2000,y,,
,skeena,kispiox,juvenile surveys,Skeena_2002_Williamson_Kispiox_juv,"Williamson 2002 ""Upper Skeena and Kispiox River Juvenile Steelhead Surveys 1999"" Table 8",,,https://www.dropbox.com/s/kfrq21fwxn4nrru/Skeena_2002_Williamson_Kispiox_juv.csv?dl=0,juvenile survey data 1980-1999 for Kispiox river,y,,
,vimi,englishman,spawner surveys,VIMI_2022_McCulloch_Englishman_SS_data,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ",Mike.McCulloch@gov.bc.ca,,https://www.dropbox.com/s/jg73phkvr1gra5w/VIMI_2022_McCulloch_Englishman_SS_data.csv?dl=0,AUC population estimates for winter steelhead in the Englishman river 1982-2022,y,,
,vimi,englishman,age structure,VIMI_2022_McCulloch_Englishman_age_data,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ",Mike.McCulloch@gov.bc.ca,,https://www.dropbox.com/s/poaih3ihj0s7o77/VIMI_2022_McCulloch_Englishman_age_data.csv?dl=0,annual estimates of age distribution for winter run,n,,
,vimi,"heber, upper gold",spawner surveys,VIMI_2022_McCulloch_Heber_Gold_Summer_SS_data,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ",Mike.McCulloch@gov.bc.ca,,https://www.dropbox.com/sh/4ur4jl3tafru9z6/AABQ6QKcMtjz6_4Polf6XXTva?dl=0,uncallibrated peak adult steelhead counts (index) 1975-2022,y,,
,vimi,"gold, gordon, salmon, tsitika",spawner surveys,VIMI_2020_McCulloch_VI_Rivers_SS_data,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figures",Mike.McCulloch@gov.bc.ca,,https://www.dropbox.com/s/pppckrh9fny6zwo/VIMI_2020_McCulloch_VI_Rivers_SS_data.csv?dl=0,uncallibrated peak adult steelhead counts (index) ,y,,
