ID - Ahrens,SHA stream code,Ahrens Sub-Area,0,River,Revised based on Region input 2013 - Runtiming,Stock assessment,Assessment details,Ron 2013 - productivity,Ron's comments 2013,Watershed Map Code - AHRENS,WSC from SHA,New WSC from SHA,WB_ID from SHA,Stream Order,MPM Comments 2013,Wild Stock Trend,Wild Stock Status,Classification 2005,Classification status 2013,Recent Escapements 1,Smolt Capacity 2,Anandromous Length (km),Bank Full Width (m),Bank Full Depth (m),Bank Full Discharge (m3/s),Mean River Gradient (%),Watershed Area (km2),Mean Watershed Elevation (m),Proportion Wetland,Proportion Alpine,Productivity,Productivity Type,Habitat Comments,Habitat Restoration To Date,Special Habitat Protection Requirements,Steelhead Objectives and Strategies,Notes,Angling Regulations,
7,001,East Vancouver Island,1,Adam and Eve Rivers,Winter/Summer,yes - historic,"historic 1-off stock assessment (integrated habitat juvenile fish info) FRBC days, fertilization work provides evidence of what habitat capacity is",,,920758000,920-7580-000-000-000-000-000-000-000-000-000-000,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,310612,6,Both winter and summer (there is a selective barrier DS from the #2 bridge). Viable SR coho population as well.,Likely Declining,Extreme Conservation Concern,Wild,wild,,3731,7.96475,49.78261,1.90809,283.0268,11,633.87,708.9966,0.00745,0.04489,Low,Natural,Shortage of rearing habitat complexity (large woody debris) and over-wintering refugia following several decades of logging and stream channel instability. Approx. 30%+ of the watershed's old growth has been harvested. Sand is infilling channel. There is a barrier on the Adam about I km upstream from the confluence with the Eve. Channel widening and bedload instability are extensive processes.  Baseflow alkalinity low at 17 mg/L and predicted capacity per steelhead size class is 150 g/Unit.,"Eve River was the focus of a small scale WRP habitat restoration project which started in 1997  - placement of LWD into side channels, ponds and tributaries to the Eve mainstem.",Improve logging practices and review rate of cut issue for this watershed.  Monitor/prevent establishment of feral Atlantic salmon runs by escapes from nearby marine fish farms. ,"Increase growth and survival of juvenile steelhead through to the smolt stage in order to maintain healthy returns capable of supporting a catch and release angling opportunity over 5-km fishable length.  Undertake a comprehensive biophysical inventory/habitat capability assessment to identify potential smolt yields for summer and winter run stocks that focuses on the Eve River, upstream of the Adam confluence, as it is the key steelhead producer. Once completed, this will form the basis for a fisheries and habitat management plan to guide further restoration activities. Review and integrate past WRP inventories (1995) to derive capability estimates.   ",Rehabilitation work needs to be continued to provide stable juvenile cover in less flood-prone areas off the mainstem. Small anadromous brown trout population is present. All five salmon species present - likely among the most diverse fish communities on Vancouver Island.,"Limited catch and release of wild steelhead, extensive seasonal headwater closure",
12,002,South Coast,1,Ahnuhati River,Winter,yes - historic,"historic snorkel survey reports (Rimmer, Wightman, Axford)","short, ultra-low productivity, sthd abundance driven by pink production",,900603000,900-6030-000-000-000-000-000-000-000-000-000-000,900-603000-00000-00000-0000-0000-000-000-000-000-000-000,271106,3,,In Decline,Extreme Conservation Concern,Wild,wild,50-100,2283,14.81392,26.81727,1.35017,108.2868,13,185.2,1009,0,0.24924,Low,Natural,Some logging in lower 4 km of watershed with most of the headwater drainage intact.  Extensive channel braiding and large frequency of LWD in the lower 8 km.  Fish production comes almost entirely from mainstem due to consistently steep tributary streams.  Base flow alkalinity low at 4 mg/L and predicted biomass or capacity per steelhead size class is 70 g/Unit.,No known habitat restoration to date.,Preservation of existing habitat is of paramount importance. Limit headwater logging activities to minimize deleterious impacts on the stream.,"Conduct a biophysical inventory/habitat capability assessment.  Addition of inorganic nutrients may not be needed due to presence of large pink salmon runs, but conduct water chemistry (low level nutrient) sampling once monthly from May to October.","Surveys in the fall of 2001, completed to identify potential encroachment by Atlantic salmon, showed very large numbers of cutthroat trout and Dolly Varden char in the lower 8km of this river.  The mainland coast streams appeared to fair better than east coast Vancouver Island stocks possibly due to the greater proportion of ocean age 3 maiden spawners and geographic location on the east side of Johnstone Strait.  Assessments in 2000, 2001 and 2002 showed precipitous declines in adult returns placing many stocks in the Conservation / special concern zones.",Catch & release of wild steelhead.,
288,,South Coast,1,Ahta River,Winter,yes - historic,"historic snorkel survey reports (Rimmer, Wightman, Axford)","short, ultra-low productivity, sthd abundance driven by pink production",,900640400,,,,4,,,Extreme Conservation Concern,Wild,wild,,1351,4.9177,16.04955,1.04747,53.4981,11,65.25,810.394,0,0.11908,,,,,,,,,
291,,West Vancouver Island,1,Amai Creek,Winter,,,,,930653300,,,,3,Very small habitat base probably LE if ever viable,,Conservation Concern,Wild,wild,,647,1.81298,13.36692,0.9619,42.22175,18,14.76,425,0,0,,,,,,,,,
14,003,East Vancouver Island,1,Amor de Cosmos Creek,Winter,"yes; historic, 1-off",JPV - AS,low productivity,,920700700,920-7007-000-000-000-000-000-000-000-000-000-000,920-700700-00000-00000-0000-0000-000-000-000-000-000-000,309629,4,Very small habitat base / population,Stable at Low level,Extreme Conservation Concern,Wild,wild,<50,1645,3.57728,28.43919,1.39227,117.9282,6,197.91,315.9522,0.00961,0.01,Low,Natural,Large barrier falls at 3.8 km upstream from mouth. Observed parr densities appear healthy and consistent with biomass of 150 g/Unit and high quality rearing habitat.,Fisheries and Oceans abandoned an experimental pink salmon hatchery in the early 1980s. ,Ensure good logging practices are followed in this watershed both above and below the barrier falls. Monitor presence of Atlantic salmon adults/juveniles in the anadromous reach.,"Rebuild small wild stock and protect habitats to support a limited catch and release angling opportunity over 2-km fishable water. Undertake a biophysical inventory to identify current steelhead production, habitat constraints and restoration opportunities. Monitor/prevent establishment of feral Atlantic salmon runs by escapes from nearby marine fish farms. Ensure regular enforcement checks are made during the steelhead-angling season. ",Check on persistent presence of juvenile Atlantic salmon first observed in 1999.,Steelhead Seasonal Closure,
100,469,West Vancouver Island,1,Anderson River (Clemens Creek),Winter/Summer,,,,,930162500,100-1580-000-000-000-000-000-000-000-000-000-000,100-158000-00000-00000-0000-0000-000-000-000-000-000-000,2583,4,In Decline,,Conservation Concern,Wild,wild,"likely <50 SR, 100-125 WR",1670,17.90507,22.53255,1.23539,84.60525,12,142.07,430.6336,0.00044,0.02766,Low 14.3 mg/l alk,Natural,1996 assesment describe stream as broad and shallow with fair juvenile and poor adult habitat. Forest harvesting has resulted in a loss of LWD while frequent torrenting has lowered spawning and rearing habitat.,In the summer of 2001 a groundwater fed channel was created to boost coho and sockeye habitat and included some LWD structures within the channel. A level two perscription calls for the creation of two more of these channels but neither one have been constructed yet.,Improve logging practices through strict application of good forest practices - particular emphasis should be placed on cut blocks on steep slopes in headwater reaches and on tributaries.,,,"Wild Steelhead Release, Bait Ban, Single Barbless
Hook",
292,004,South Coast,1,Apple River,Winter,,,,,900469600,900-4696-000-000-000-000-000-000-000-000-000-000,900-469600-00000-00000-0000-0000-000-000-000-000-000-000,269239,4,,,Extreme Conservation Concern,Wild,wild,,2751,18.06615,28.24766,1.38733,116.7699,14,196.79,1032.182,0,0.19706,,,,,,,,,
85,005,West Vancouver Island,1,Artlish River,Winter/Summer,,,,,930671100,930-6711-000-000-000-000-000-000-000-000-000-000,930-671100-00000-00000-0000-0000-000-000-000-000-000-000,323210,5,,In Decline,Extreme Conservation Concern,Wild,wild,"<50 SR, 50-100 WR",2806,14.98985,35.35046,1.56564,163.3802,13,124.55,539.6116,0,0.03492,Low,Natural,"Anadromous barrier (gradient = 7.5%) at 16.5 km on Artlish and 0.2 km on N. Artlish. Lower 15.2 km gradient averages 1%, upper reaches are 2-4.5%. Upper Artlish logged with 5-20 year old second growth now predominating while 75 % of riparian zone in lower river is first growth. A recreational fishing corridor extends along much of the anadromous length.",, Improve logging practices through strict application of good forest practices - particular emphasis should be placed on cut blocks on steep slopes in headwater reaches.,Recover wild stocks and maintain catch and release wild fishery over fishable length. Update the previous assessments to identify steelhead production and constraints  - a better estimate of current steelhead run size and habitat capacities is required.,,"Wild Steelhead Release, Bait Ban, Single Barbless
Hook, no fishing above the 10 km bridge Nov1- April 30",
246,006,West Vancouver Island,1,Ash River,sumer/winter,yes - sporadic,"sporadic snorkel counts, stock assessment-juvenile work by variety of folks, intense looking at movement of fish related to flows",,,9301374009950020200,930-1374-995-202-000-000-000-000-000-000-000-000,930-137400-99500-20200-0000-0000-000-000-000-000-000-000,317942,6,WR have access to lower 5 km,In Decline,Conservation Concern,Wild,wild,100-150 SR,2493,41.36386,38.42927,1.64047,186.0037,10,388.46,659.6281,0.02379,0.03737,Low 18.4 mg/l alk,Fertilized,,Selective blasting was done at Dickson Falls in the 1970's and now is passable to summer steelhead. Fertilizer treatments were used as a means of increasing productivity within the stream in 2001.,Improve logging practices through strict application of good forest practices - particular emphasis should be placed on cut blocks on steep slopes in headwater reaches and on tributaries.,Recover wild stocks and maintain catch and release wild fishery over fishable length while continuing to monitor summer run stocks.,,"Wild Steelhead Release, Bait Ban, Single Barbless
Hook, No fishing from Dickson Lake to signs 200m below Lanterman Falls  Dec1-April 30, From Dickson falls to signs 30 m downstream all year, and from Elsie Lake to Dickson Lake all year.",
295,007,South Coast,1,Atlatzi River,Winter,,,,,90068160020200,900-6816-202-000-000-000-000-000-000-000-000-000,900-681600-20200-00000-0000-0000-000-000-000-000-000-000,272037,3,,,Extreme Conservation Concern,Wild,wild,,1367,15.24563,25.24645,1.30874,99.30716,13,158.76,987,0.00739,0.33925,,,,,,,,,
