pse_region,species,cu_id,stream_id,cu_name,stream_name,run,year,escapement_estimate,method,data_source,note
central coast,SH,680,9785,North Coast Winter,KLOIYA RIVER,winter,2006,146,Resistivity Counter,"Peard 2017 ""Results of the Kloiya River Resitivity Counter 2016"" Figure 6",Data digitized from Figure 6 in Peard (2017) as raw data were not accessible
central coast,SH,680,9785,North Coast Winter,KLOIYA RIVER,winter,2007,76,Resistivity Counter,"Peard 2017 ""Results of the Kloiya River Resitivity Counter 2016"" Figure 6",Data digitized from Figure 6 in Peard (2017) as raw data were not accessible
central coast,SH,680,9785,North Coast Winter,KLOIYA RIVER,winter,2009,26,Resistivity Counter,"Peard 2017 ""Results of the Kloiya River Resitivity Counter 2016"" Figure 6",Data digitized from Figure 6 in Peard (2017) as raw data were not accessible
central coast,SH,680,9785,North Coast Winter,KLOIYA RIVER,winter,2010,52,Resistivity Counter,"Peard 2017 ""Results of the Kloiya River Resitivity Counter 2016"" Figure 6",Data digitized from Figure 6 in Peard (2017) as raw data were not accessible
central coast,SH,680,9785,North Coast Winter,KLOIYA RIVER,winter,2011,100,Resistivity Counter,"Peard 2017 ""Results of the Kloiya River Resitivity Counter 2016"" Figure 6",Data digitized from Figure 6 in Peard (2017) as raw data were not accessible
central coast,SH,680,9785,North Coast Winter,KLOIYA RIVER,winter,2012,53,Resistivity Counter,"Peard 2017 ""Results of the Kloiya River Resitivity Counter 2016"" Figure 6",Data digitized from Figure 6 in Peard (2017) as raw data were not accessible
central coast,SH,680,9785,North Coast Winter,KLOIYA RIVER,winter,2013,78,Resistivity Counter,"Peard 2017 ""Results of the Kloiya River Resitivity Counter 2016"" Figure 6",Data digitized from Figure 6 in Peard (2017) as raw data were not accessible
central coast,SH,680,9785,North Coast Winter,KLOIYA RIVER,winter,2014,28,Resistivity Counter,"Peard 2017 ""Results of the Kloiya River Resitivity Counter 2016"" Figure 6",Data digitized from Figure 6 in Peard (2017) as raw data were not accessible
central coast,SH,680,9785,North Coast Winter,KLOIYA RIVER,winter,2015,45,Resistivity Counter,"Peard 2017 ""Results of the Kloiya River Resitivity Counter 2016"" Figure 6",Data digitized from Figure 6 in Peard (2017) as raw data were not accessible
central coast,SH,680,9785,North Coast Winter,KLOIYA RIVER,winter,2016,66,Resistivity Counter,"Peard 2017 ""Results of the Kloiya River Resitivity Counter 2016"" Figure 6",Data digitized from Figure 6 in Peard (2017) as raw data were not accessible
