pse_region,species,cu_id,stream_id,cu_name,stream_name,year,date,run,spawner_count,method,reliability_comment,data_source,data_source_link,note
columbia,SH,1380,10271,Mid Columbia Summer,Inkaneep Creek,2006,,summer,64,fence,low,"Okanagan Nation Alliance, 2012 ""Steelhead Spawner Enumeration in aksk??k?ant (Inkaneep Creek) – 2011""",,may include counts of rainbow trout residents - no QAQC done to correct for RB counts
columbia,SH,1380,10271,Mid Columbia Summer,Inkaneep Creek,2008,,summer,59,fence,low,"Okanagan Nation Alliance, 2012 ""Steelhead Spawner Enumeration in aksk??k?ant (Inkaneep Creek) – 2011""",,may include counts of rainbow trout residents - no QAQC done to correct for RB counts
columbia,SH,1380,10271,Mid Columbia Summer,Inkaneep Creek,2009,,summer,20,fence,low,"Okanagan Nation Alliance, 2012 ""Steelhead Spawner Enumeration in aksk??k?ant (Inkaneep Creek) – 2011""",,may include counts of rainbow trout residents - no QAQC done to correct for RB counts
columbia,SH,1380,10271,Mid Columbia Summer,Inkaneep Creek,2010,,summer,77,fence,low,"Okanagan Nation Alliance, 2012 ""Steelhead Spawner Enumeration in aksk??k?ant (Inkaneep Creek) – 2011""",,may include counts of rainbow trout residents - no QAQC done to correct for RB counts
columbia,SH,1380,10271,Mid Columbia Summer,Inkaneep Creek,2011,2011-03-11 to 2011-05-11,summer,2,fence,low,"Okanagan Nation Alliance, 2012 ""Steelhead Spawner Enumeration in aksk??k?ant (Inkaneep Creek) – 2011""",,may include counts of rainbow trout residents - no QAQC done to correct for RB counts
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
