,Estimated age-1+ Standing stock,Estimated age-1+ Standing stock,Estimated age-1+ Standing stock,Estimated age-1+ Standing stock,Estimated age-1+ Standing stock,Estimated age-1+ Standing stock,Estimated age-1+ Standing stock,Estimated age-1+ Standing stock,Estimated age-1+ Standing stock,Estimated age-1+ Standing stock,Estimated age-1+ Standing stock,,,,,,,,,,,,,,,,,,,,,,,,,,
reach,2001,2002,2003,2004,2005,2006,2008,2010,2011,2012,mean,method=snorkel,,,,,,,,,,,,,,,,,,,,,,,,,
Bonaparte,"32,631","28,005","19,173","8,603",ND1,"17,453","21,139","29,698","20,876","20,145","21,969",,,,,,,,,,,,,,,,,,,,,,,,,,
Criss,"12,331","19,375","26,691","12,111","12,361","21,867","23,746","30,967","16,579","19,124","19,515",,,,,,,,,,,,,,,,,,,,,,,,,,
Coldwater,"35,666","46,429","63,257","41,030","41,916 2","27,805","56,611","36,082","26,949","30,082","40,583",,,,,,,,,,,,,,,,,,,,,,,,,,
Deadman,"12,193","13,404","16,884","14,488","22,668","21,376","22,912","25,121","24,307","30,483","20,384",,,,,,,,,,,,,,,,,,,,,,,,,,
Nicola,"23,354","31,310","43,033","32,992","45,978","59,451","44,885","32,691","23,157 2","41,090","37,794",,,,,,,,,,,,,,,,,,,,,,,,,,
Spius,"38,656","35,818","51,091","45,218","43,588 2","61,960","31,447","34,011","34,011","26,952","40,275",,,,,,,,,,,,,,,,,,,,,,,,,,
Thomp. (T1),"1,351","1,999",351,"1,277",561,"1,503","1,437",737,"1,515","1,658","1,239",,,,,,,,,,,,,,,,,,,,,,,,,,
Thomp. (T2),"5,790","12,509","7,654","6,968","9,841","7,452","4,246","9,194","1,844","7,783","7,328",,,,,,,,,,,,,,,,,,,,,,,,,,
Thomp. (T3),"31,047","35,371","19,800","21,091","18,551","25,055","28,810","26,661","9,639","9,815","22,584",,,,,,,,,,,,,,,,,,,,,,,,,,
Thomp. (all),"38,188","49,879","27,805","29,336","28,953","34,010","34,493","36,592","12,998","19,256","31,151",,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"193,019","224,220","247,934","183,778","216,631","243,922","235,233","225,162","158,877","187,132","211,591",,,,,,,,,,,,,,,,,,,,,,,,,,
