pse_region,species,cu_id,stream_id,cu_name,stream_name,year,run,age-0+_standing_stock,age1_standing_stock,age-2+_standing_stock,method,lat,long,data_source,data_source_link,note
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2001,summer,495088,193019,42137,snorkel,50.7541777,-121.1991427,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,"total juvenile abundance estimates for each age class for whole Thompson River, including all tributaries"
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2002,summer,577236,224220,38477,snorkel,50.7541777,-121.1991427,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,"total juvenile abundance estimates for each age class for whole Thompson River, including all tributaries"
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2003,summer,554345,247934,47461,snorkel,50.7541777,-121.1991427,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,"total juvenile abundance estimates for each age class for whole Thompson River, including all tributaries"
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2004,summer,294867,183778,34748,snorkel,50.7541777,-121.1991427,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,"total juvenile abundance estimates for each age class for whole Thompson River, including all tributaries"
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2005,summer,NA,216631,"50,474 2",snorkel,50.7541777,-121.1991427,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,"total juvenile abundance estimates for each age class for whole Thompson River, including all tributaries"
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2006,summer,370249,243922,41115,snorkel,50.7541777,-121.1991427,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,"total juvenile abundance estimates for each age class for whole Thompson River, including all tributaries"
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2008,summer,404776,235233,50307,snorkel,50.7541777,-121.1991427,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,"total juvenile abundance estimates for each age class for whole Thompson River, including all tributaries"
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2010,summer,361228,225162,"95,873 2",snorkel,50.7541777,-121.1991427,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,"total juvenile abundance estimates for each age class for whole Thompson River, including all tributaries"
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2011,summer,342473,158877,78307,snorkel,50.7541777,-121.1991427,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,"total juvenile abundance estimates for each age class for whole Thompson River, including all tributaries"
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2012,summer,439963,187132,56043,snorkel,50.7541777,-121.1991427,"Decker et al. 2015 ""Stock Productivity, Carrying Capacity, and Habitat Utilization of Thompson River Steelhead, as Estimated from 2001-2012 Juvenile Abundance Data"" Table 6 & 7, pp. 32-33",,"total juvenile abundance estimates for each age class for whole Thompson River, including all tributaries"
