Date,Species,10th Percentile,90th Percentile,Minimum,Maximum,Mean,56-'59 AVERAGE,60-'69 AVERAGE,70-'79 AVERAGE,80-'89 AVERAGE,90-'99 AVERAGE,2000-2009 AVERAGE,2010-2020 AVERAGE,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Current Year
03-Jun,Sockeye,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
04-Jun,Sockeye,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
05-Jun,Sockeye,0.00,1.35,0.00,1.69,0.56,1.69,0.00,0.00,0.00,0.00,0.00,0.00,N/A,1.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
06-Jun,Sockeye,0.00,0.55,0.00,0.91,0.18,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
07-Jun,Sockeye,0.00,0.19,0.00,0.31,0.06,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
08-Jun,Sockeye,0.00,0.67,0.00,0.93,0.25,0.31,0.00,0.00,0.31,0.15,0.29,0.00,0.63,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.93,0.00,N/A,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,0.59,N/A,N/A,0.68,0.47,N/A,N/A,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
09-Jun,Sockeye,0.00,0.79,0.00,0.94,0.31,0.53,0.00,0.00,0.38,0.29,0.25,0.00,0.57,0.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.31,0.29,0.94,N/A,0.00,0.00,0.83,N/A,N/A,N/A,N/A,N/A,0.32,N/A,N/A,0.00,0.75,0.50,N/A,N/A,N/A,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10-Jun,Sockeye,0.00,1.81,0.00,5.53,0.74,1.40,2.21,0.00,0.36,0.68,1.16,0.42,2.30,0.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.27,1.19,0.00,1.19,0.00,0.91,N/A,N/A,N/A,0.00,1.41,1.29,0.29,5.53,0.35,1.23,0.47,0.38,0.25,N/A,0.75,1.17,0.77,0.58,2.29,0.77,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.31
11-Jun,Sockeye,0.00,2.18,0.00,7.01,1.26,1.09,1.72,4.39,1.89,0.75,1.50,0.72,2.18,0.00,N/A,N/A,N/A,0.00,3.91,N/A,N/A,1.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.39,N/A,N/A,7.01,N/A,0.90,1.32,0.00,1.63,0.29,2.06,1.36,0.91,0.00,0.87,N/A,N/A,N/A,0.00,0.90,1.24,1.78,5.85,1.78,0.24,0.49,1.75,0.50,N/A,0.75,0.37,1.89,0.78,1.76,1.89,0.00,0.26,0.39,N/A,0.00,0.00,0.26,0.39,0.52
12-Jun,Sockeye,0.00,5.10,0.00,7.00,1.51,1.16,2.56,5.41,2.03,1.15,1.28,0.80,1.12,1.21,N/A,N/A,6.27,2.06,0.99,N/A,N/A,0.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.84,6.98,5.63,3.72,6.83,0.94,0.00,1.40,0.85,0.00,0.00,0.94,0.46,0.43,0.92,2.12,0.00,1.80,5.04,0.00,0.44,0.30,0.95,7.00,0.00,0.95,0.00,0.26,0.77,N/A,1.23,0.38,0.39,3.42,1.37,0.39,0.77,1.29,0.00,1.17,0.00,0.00,0.00,0.00,0.00
13-Jun,Sockeye,0.00,5.75,0.00,9.65,2.08,1.96,3.77,5.11,3.08,0.68,1.10,0.81,1.60,2.32,N/A,N/A,2.54,2.77,4.79,N/A,N/A,3.67,N/A,6.61,N/A,2.26,6.73,1.88,N/A,5.03,N/A,N/A,0.00,6.04,9.65,6.41,5.13,5.56,3.77,7.67,0.85,3.77,0.00,0.43,2.75,0.87,0.00,0.88,0.00,1.23,0.95,0.46,1.17,0.31,1.85,0.00,0.93,2.11,2.19,0.73,0.24,1.72,0.00,N/A,0.00,1.95,1.04,1.04,0.76,1.04,0.39,2.30,0.78,1.57,0.00,0.00,0.00,0.00,0.00
14-Jun,Sockeye,0.00,6.20,0.00,15.77,2.27,1.41,2.85,6.78,2.52,1.19,1.63,0.85,1.88,0.94,N/A,N/A,2.94,3.21,1.61,N/A,0.95,6.95,0.92,3.96,N/A,2.24,3.23,2.81,N/A,6.18,N/A,N/A,4.78,7.37,15.77,7.32,6.36,0.00,2.68,0.92,0.86,5.25,0.65,1.88,1.41,5.23,0.63,1.78,0.00,0.86,0.92,1.75,3.51,0.62,1.79,0.00,2.42,6.31,0.36,0.00,0.45,1.74,0.37,N/A,0.50,2.55,1.27,1.03,2.06,1.27,0.78,1.01,1.04,0.52,0.00,0.39,0.00,0.00,0.00
15-Jun,Sockeye,0.00,4.55,0.00,10.04,2.07,1.08,3.32,4.18,1.90,1.55,1.80,1.01,2.00,0.63,N/A,0.62,6.24,2.38,4.63,N/A,4.08,4.22,2.54,2.53,1.89,1.40,3.06,1.53,3.29,2.11,N/A,N/A,0.94,5.75,10.04,6.72,3.23,0.47,2.55,2.81,0.00,3.75,0.62,1.34,2.78,1.51,1.23,2.71,0.00,0.00,0.31,0.92,8.11,1.27,0.92,0.00,2.39,6.68,0.72,0.36,1.66,2.06,0.26,2.59,0.49,0.77,2.72,0.39,4.03,2.72,0.39,0.39,0.52,0.00,0.00,0.00,0.00,0.00,0.00
16-Jun,Sockeye,0.12,5.98,0.00,16.72,2.74,2.75,4.38,4.83,3.29,2.08,1.83,1.11,1.81,0.98,3.41,4.79,1.58,0.33,6.79,N/A,4.36,1.90,2.46,10.01,5.95,6.00,1.82,0.62,0.57,3.40,N/A,2.27,4.24,4.15,16.72,9.70,10.00,3.15,2.51,3.98,1.39,4.11,0.31,0.90,2.67,3.88,1.88,4.90,0.00,1.86,0.30,0.45,6.18,1.81,3.40,0.00,2.05,4.53,1.20,2.02,1.93,1.10,0.49,3.31,1.26,0.39,1.81,1.15,0.77,1.81,1.17,0.55,2.86,2.10,0.00,0.00,0.00,0.00,0.00
17-Jun,Sockeye,0.19,8.74,0.00,25.26,3.72,4.06,4.05,7.01,4.58,1.80,4.41,1.30,3.58,3.24,5.08,4.34,0.92,1.29,4.61,5.23,3.15,2.25,1.54,3.56,9.64,8.34,1.27,1.23,0.92,5.45,25.26,9.90,0.70,4.60,12.28,8.51,17.67,1.53,4.93,4.00,0.43,7.99,0.32,5.05,1.41,2.45,0.94,3.70,1.75,1.80,0.00,1.83,5.56,1.81,0.63,0.00,9.09,17.59,0.76,1.71,0.00,1.76,0.49,8.36,1.71,2.62,0.58,1.92,5.21,0.58,2.34,0.39,2.08,0.79,0.39,0.00,0.00,0.00,0.00
18-Jun,Sockeye,0.00,9.62,0.00,15.53,3.64,3.63,4.80,6.34,3.91,2.73,4.22,0.84,3.92,2.93,6.13,1.52,2.44,0.65,2.74,0.60,1.87,6.69,2.40,1.23,15.11,14.28,1.84,2.29,3.77,9.53,15.53,5.35,0.60,6.10,11.03,7.36,7.92,0.00,9.08,4.05,0.31,9.76,0.29,3.38,1.51,2.76,2.12,5.54,0.47,2.02,0.31,2.20,3.20,0.30,9.27,1.83,14.43,13.01,0.00,1.92,1.10,3.35,0.76,3.60,1.05,3.04,1.53,0.76,3.05,1.53,2.08,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.39
19-Jun,Sockeye,0.48,8.25,0.00,22.92,3.87,6.36,3.38,5.35,4.70,3.42,4.52,1.82,2.36,6.81,13.41,2.88,0.63,0.63,0.94,1.25,1.84,0.92,0.61,3.14,16.09,7.71,0.94,1.47,8.34,4.26,15.82,4.21,0.42,1.41,7.51,9.12,4.69,1.43,10.07,7.63,3.17,8.18,0.96,3.13,3.41,4.34,3.41,5.61,1.38,4.98,2.78,1.27,5.48,2.33,6.69,0.29,6.40,22.92,0.96,2.30,0.74,0.96,0.74,2.96,5.19,2.00,1.03,2.28,1.56,1.03,4.68,3.42,5.50,0.52,0.00,0.00,0.00,0.39,0.00
20-Jun,Sockeye,0.53,8.70,0.00,19.49,4.12,4.38,4.06,6.06,4.21,4.09,5.76,1.49,3.68,4.94,6.67,2.22,2.15,2.50,0.00,0.63,2.67,2.47,1.35,6.22,11.83,10.72,2.75,0.93,8.75,8.67,19.49,2.43,0.41,3.25,5.60,8.29,9.05,7.11,5.94,5.06,2.47,1.40,0.62,2.36,3.12,4.97,2.85,2.80,2.18,6.79,3.16,2.54,7.30,3.15,7.50,2.65,16.93,14.40,6.05,5.03,2.52,1.50,1.74,6.22,1.12,2.03,1.79,3.69,3.45,1.79,2.91,1.56,0.39,0.79,0.00,0.00,0.00,0.00,0.79
