Date,Species,10th Percentile,90th Percentile,Minimum,Maximum,Mean,56-'59 AVERAGE,60-'69 AVERAGE,70-'79 AVERAGE,80-'89 AVERAGE,90-'99 AVERAGE,2000-2009 AVERAGE,2010-2020 AVERAGE,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Current Year
03-Jun,Sockeye,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,
04-Jun,Sockeye,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,
05-Jun,Sockeye,0.00,1.35,0.00,1.69,0.56,1.69,0.00,0.00,0.00,0.00,0.00,0.00,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,
06-Jun,Sockeye,0.00,1.56,0.00,2.60,0.52,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,
07-Jun,Sockeye,0.00,1.68,0.00,2.60,0.58,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.31,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,
08-Jun,Sockeye,0.00,0.94,0.00,2.60,0.48,2.61,0.00,0.00,0.31,0.15,0.29,0.00,0.94,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.93,0.00,,0.00,0.00,0.00,,,,,,0.59,,,0.68,0.47,,,,,0.00,0.00,,,,,,,,,,,,,
09-Jun,Sockeye,0.00,1.37,0.00,3.08,0.70,3.14,0.00,0.00,0.69,0.44,0.54,0.00,1.51,3.08,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,0.00,0.31,1.22,0.94,,0.00,0.00,0.83,,,,,,0.91,,,0.68,1.22,0.50,,,,0.00,0.00,,,,,,,,,,,,,
10-Jun,Sockeye,0.00,3.13,0.00,5.53,1.33,4.54,2.21,0.00,1.06,1.12,1.70,0.42,3.81,3.57,,,,,,,,2.21,,,,,,,,,,,,,,,,,,,,,0.00,0.31,1.49,2.12,0.00,1.19,0.00,1.74,,,,0.00,1.41,2.20,0.29,5.53,1.03,2.46,0.97,0.38,0.25,,0.75,1.17,  0.77,  0.58,  2.29,  0.77,  0.00,  0.00,  0.26,  0.00,  0.00,  0.00,  0.00,0.00,0.31
11-Jun,Sockeye,0.00,4.39,0.00,11.38,2.51,5.63,3.93,4.39,2.94,1.87,3.20,1.15,6.00,3.57,,,,0.00,3.91,,,3.45,,,,,,,,,,,,,,4.39,,,7.01,,0.90,1.32,0.00,1.94,1.78,4.18,1.36,2.10,0.00,2.61,,,,0.00,2.30,3.44,2.07,11.38,2.81,2.70,1.46,2.12,0.75,,1.50,1.54,  2.66,  1.36,  4.05,  2.66,  0.00,  0.26,  0.65,  -,  0.00,  0.00,  0.26,0.39,0.83
12-Jun,Sockeye,0.84,6.44,0.00,18.38,3.71,6.79,6.49,9.80,4.97,3.03,4.48,1.95,7.11,4.79,,,6.27,2.06,4.90,,,4.38,,,,,,,,,,,,,3.84,11.37,5.63,3.72,13.84,0.94,0.90,2.72,0.85,1.94,1.78,5.12,1.82,2.53,0.92,4.73,0.00,1.80,5.04,0.00,2.75,3.74,3.02,18.38,2.81,3.65,1.46,2.38,1.52,,2.73,1.92,  3.05,  4.78,  5.42,  3.05,  0.77,  1.55,  0.65,  1.17,  0.00,  0.00,  0.26,0.39,0.83
