pse_region,species,cu_id,stream_id,cu_name,stream_name,run,year,peak_count_index,avg_density_spawner_per_km,method,data_source,note
vimi,SH,982,10274,West Vancouver Island Winter,GOLD RIVER,winter,1998,545,,snorkel,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 6",Note that the 1998 survey was completed over 6 km.
vimi,SH,982,10274,West Vancouver Island Winter,GOLD RIVER,winter,1999,909,,snorkel,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 6",Uncalibrated peak adult steelhead count for the 8.1 km Gold River index from 1998 to 2019.
vimi,SH,982,10274,West Vancouver Island Winter,GOLD RIVER,winter,2000,316,,snorkel,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 6",Uncalibrated peak adult steelhead count for the 8.1 km Gold River index from 1998 to 2019.
vimi,SH,982,10274,West Vancouver Island Winter,GOLD RIVER,winter,2001,386,,snorkel,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 6",Uncalibrated peak adult steelhead count for the 8.1 km Gold River index from 1998 to 2019.
vimi,SH,982,10274,West Vancouver Island Winter,GOLD RIVER,winter,2002,305,,snorkel,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 6",Uncalibrated peak adult steelhead count for the 8.1 km Gold River index from 1998 to 2019.
vimi,SH,982,10274,West Vancouver Island Winter,GOLD RIVER,winter,2003,128,,snorkel,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 6",Uncalibrated peak adult steelhead count for the 8.1 km Gold River index from 1998 to 2019.
vimi,SH,982,10274,West Vancouver Island Winter,GOLD RIVER,winter,2004,98,,snorkel,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 6",Uncalibrated peak adult steelhead count for the 8.1 km Gold River index from 1998 to 2019.
vimi,SH,982,10274,West Vancouver Island Winter,GOLD RIVER,winter,2005,63,,snorkel,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 6",Uncalibrated peak adult steelhead count for the 8.1 km Gold River index from 1998 to 2019.
vimi,SH,982,10274,West Vancouver Island Winter,GOLD RIVER,winter,2006,205,,snorkel,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 6",Uncalibrated peak adult steelhead count for the 8.1 km Gold River index from 1998 to 2019.
vimi,SH,982,10274,West Vancouver Island Winter,GOLD RIVER,winter,2007,731,,snorkel,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 6",Uncalibrated peak adult steelhead count for the 8.1 km Gold River index from 1998 to 2019.
