pse_region,species,cu_id,stream_id,cu_name,stream_name,run,year,density_avg_fry_per_100m2_adj,method,lat,long,data_source,note
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,1998,35,electrofishing,49.32911,-124.295001,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 4",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,1999,46,electrofishing,49.32911,-124.295001,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 4",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2000,25,electrofishing,49.32911,-124.295001,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 4",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2001,26,electrofishing,49.32911,-124.295001,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 4",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2002,26,electrofishing,49.32911,-124.295001,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 4",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2003,17,electrofishing,49.32911,-124.295001,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 4",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2004,21,electrofishing,49.32911,-124.295001,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 4",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2005,19,electrofishing,49.32911,-124.295001,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 4",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2006,48,electrofishing,49.32911,-124.295001,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 4",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2008,21,electrofishing,49.32911,-124.295001,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 4",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2011,45,electrofishing,49.32911,-124.295001,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 4",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2012,29,electrofishing,49.32911,-124.295001,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 4",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2013,40,electrofishing,49.32911,-124.295001,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 4",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2014,26,electrofishing,49.32911,-124.295001,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 4",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2015,30,electrofishing,49.32911,-124.295001,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 4",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2016,31,electrofishing,49.32911,-124.295001,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 4",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2017,29,electrofishing,49.32911,-124.295001,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 4",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2018,33,electrofishing,49.32911,-124.295001,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 4",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9974,East Vancouver Island Winter,COWICHAN RIVER,winter,1999,51,electrofishing,48.76364357,-123.7931872,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 14",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9974,East Vancouver Island Winter,COWICHAN RIVER,winter,2000,78,electrofishing,48.76364357,-123.7931872,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 15",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9974,East Vancouver Island Winter,COWICHAN RIVER,winter,2001,54,electrofishing,48.76364357,-123.7931872,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 16",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9974,East Vancouver Island Winter,COWICHAN RIVER,winter,2002,87,electrofishing,48.76364357,-123.7931872,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 17",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9974,East Vancouver Island Winter,COWICHAN RIVER,winter,2003,84,electrofishing,48.76364357,-123.7931872,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 18",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9974,East Vancouver Island Winter,COWICHAN RIVER,winter,2004,106,electrofishing,48.76364357,-123.7931872,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 19",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9974,East Vancouver Island Winter,COWICHAN RIVER,winter,2005,86,electrofishing,48.76364357,-123.7931872,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 20",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9974,East Vancouver Island Winter,COWICHAN RIVER,winter,2006,213,electrofishing,48.76364357,-123.7931872,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 21",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9974,East Vancouver Island Winter,COWICHAN RIVER,winter,2008,166,electrofishing,48.76364357,-123.7931872,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 22",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9974,East Vancouver Island Winter,COWICHAN RIVER,winter,2009,140,electrofishing,48.76364357,-123.7931872,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 23",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9974,East Vancouver Island Winter,COWICHAN RIVER,winter,2010,189,electrofishing,48.76364357,-123.7931872,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 24",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9974,East Vancouver Island Winter,COWICHAN RIVER,winter,2011,346,electrofishing,48.76364357,-123.7931872,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 25",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9974,East Vancouver Island Winter,COWICHAN RIVER,winter,2012,328,electrofishing,48.76364357,-123.7931872,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 26",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9974,East Vancouver Island Winter,COWICHAN RIVER,winter,2013,277,electrofishing,48.76364357,-123.7931872,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 27",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9974,East Vancouver Island Winter,COWICHAN RIVER,winter,2014,174,electrofishing,48.76364357,-123.7931872,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 28",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9974,East Vancouver Island Winter,COWICHAN RIVER,winter,2015,247,electrofishing,48.76364357,-123.7931872,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 29",arithmetic mean depth/velocity adjusted steelhead fry densities
vimi,SH,981,9974,East Vancouver Island Winter,COWICHAN RIVER,winter,2016,181,electrofishing,48.76364357,-123.7931872,"McCulloch 2020 ""West Coast Region Steelhead Stock Assessment 2019/2020"" Figure 30",arithmetic mean depth/velocity adjusted steelhead fry densities
