River,Brood Year,Year,Age,Sampling Period,Abundance ('000s),Abundance,Survival between Periods,Survival Fall Age-0 to Spring Age-1,Survival Spring Age-0 to Spring Age-1
Cheakamus,2008,2010,Eggs,Spring-08,789,789000,,,
Cheakamus,2008,2010,0+,Fall-08,236.5,236500,30%,,
Cheakamus,2008,2010,0+,Spring-09,48.6,48600,21%,,
Cheakamus,2008,2010,1+,Spring-10,18.3,18300,38%,8%,
Cheakamus,2009,2011,Eggs,Spring-09,498,498000,,,
Cheakamus,2009,2011,0+,Fall-09,97.7,97700,20%,,
Cheakamus,2009,2011,0+,Spring-10,22,22000,22%,,
Cheakamus,2009,2011,1+,Spring-11,3.5,3500,16%,4%,
Cheakamus,2010,2012,Eggs,Spring-10,"1,050",1050000,,,
Cheakamus,2010,2012,0+,Fall-10,70,70000,7%,,
Cheakamus,2010,2012,0+,Spring-11,31.9,31900,46%,,
Cheakamus,2010,2012,1+,Spring-12,19.6,19600,61%,28%,
Cheakamus,2011,2013,Eggs,Spring-11,"2,636",2636000,,,
Cheakamus,2011,2013,0+,Fall-11,389.4,389400,15%,,
Cheakamus,2011,2013,0+,Spring-12,87.3,87300,22%,,
Cheakamus,2011,2013,1+,Spring-13,11.56,11560,13%,3%,
Cheakamus,2012,2014,Eggs,Spring-12,"1,257",1257000,,,
Cheakamus,2012,2014,0+,Fall-12,150.3,150300,12%,,
Cheakamus,2012,2014,0+,Spring-13,48.9,48900,33%,,
Cheakamus,2012,2014,1+,Spring-14,45.6,45600,93%,30%,
Cheakamus,2013,2015,Eggs,Spring-13,"2,687",2687000,,,
Cheakamus,2013,2015,0+,Fall-13,246.7,246700,9%,,
Cheakamus,2013,2015,0+,Spring-14,52.5,52500,21%,,
Cheakamus,2013,2015,1+,Spring-15,7,7000,13%,3%,
Cheakamus,2014,2016,Eggs,Spring-14,"1,227",1227000,,,
Cheakamus,2014,2016,0+,Fall-14,151.1,151100,12%,,
Cheakamus,2014,2016,0+,Spring-15,22.9,22900,15%,,
Cheakamus,2014,2016,1+,Spring-16,14.2,14200,62%,9%,
Cheakamus,2015,2017,Eggs,Spring-15,"1,465",1465000,,,
Cheakamus,2015,2017,0+,Fall-15,141.4,141400,10%,,
Cheakamus,2015,2017,0+,Spring-16,32.9,32900,23%,,
Cheakamus,2015,2017,1+,Spring-17,10.5,10500,32%,7%,
Cheakamus,2016,2018,Eggs,Spring-16,"1,344",1344000,,,
Cheakamus,2016,2018,0+,Fall-16,237.2,237200,18%,,
Cheakamus,2016,2018,0+,Spring-17,56.7,56700,24%,,
Cheakamus,2016,2018,1+,Spring-18,9.6,9600,17%,4%,
Cheakamus,2017,2019,Eggs,Spring-17,"1,820",1820000,,,
Cheakamus,2017,2019,0+,Fall-17,332.8,332800,18%,,
Cheakamus,2017,2019,0+,Spring-18,79.4,79400,24%,,
Cheakamus,2018,2020,Eggs,Spring-18,494,494000,,,
Cheakamus,2018,2020,0+,Fall-18,175.2,175200,35%,,
Cheakamus,2018,2020,1+,Spring-20,11.3,11300,No Data,6%,
Cheakamus,2019,2021,Eggs,Spring-19,952,952000,,,
Cheakamus,2019,2021,0+,Fall-19,226.1,226100,24%,,
Cheakamus,2019,2021,0+,Spring-20,50.1,50100,22%,,
Cheakamus,2020,2022,Eggs,Spring-20,"1,524",1524000,,,
Cheakamus,2020,2022,0+,Fall-20,188.5,188500,12%,,
Brohm,2008,2010,0+,Fall-08,19.2,19200,,,
Brohm,2008,2010,0+,Spring-09,NA,NA,,,
Brohm,2008,2010,1+,Spring-10,2.7,2700,59%,14%,NA
Brohm,2009,2011,0+,Fall-09,20.3,20300,,,
Brohm,2009,2011,0+,Spring-10,4.1,4100,20%,,
Brohm,2009,2011,1+,Spring-11,1.1,1100,32%,5%,26%
Brohm,2010,2012,0+,Fall-10,18.67,18670,,,
Brohm,2010,2012,0+,Spring-11,3.83,3830,21%,,
Brohm,2010,2012,1+,Spring-12,2.22,2220,69%,12%,58%
Brohm,2011,2013,0+,Fall-11,21.87,21870,,,
Brohm,2011,2013,0+,Spring-12,4.32,4320,20%,,
Brohm,2011,2013,1+,Spring-13,1.51,1510,37%,7%,35%
Brohm,2012,2014,0+,Fall-12,30.69,30690,,,
Brohm,2012,2014,0+,Spring-13,3.59,3590,12%,,
Brohm,2012,2014,1+,Spring-14,2.3,2300,45%,7%,63%
Brohm,2013,2015,0+,Fall-13,15.5,15500,,,
Brohm,2013,2015,0+,Spring-14,3.8,3800,25%,,
Brohm,2013,2015,1+,Spring-15,0.8,800,14%,5%,22%
Brohm,2014,2016,0+,Fall-14,14.8,14800,,,
Brohm,2014,2016,0+,Spring-15,1.9,1900,13%,,
Brohm,2014,2016,1+,Spring-16,0.89,890,29%,6%,46%
Brohm,2015,2017,0+,Fall-15,24.27,24270,,,
Brohm,2015,2017,0+,Spring-16,3.61,3610,15%,,
Brohm,2015,2017,1+,Spring-17,1.1,1100,26%,5%,32%
Brohm,2016,2018,0+,Fall-16,21,21000,,,
Brohm,2016,2018,0+,Spring-17,1.8,1800,9%,,
