pse_region,species,cu_id,stream_id,cu_name,stream_name,run,brood_year,proportion_age3_at_return,proportion_age4_at_return,proportion_age5_at_return,proportion_age6_at_return,proportion_age7_at_return,proportion_age8_at_return,age_dist_comment,avg_total_age,data_source
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,1982,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,1983,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,1984,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,1985,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,1986,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,1987,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,1988,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,1989,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,1990,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,1991,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,1992,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,1993,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,1994,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,1995,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,1996,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,1997,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,1998,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,1999,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2000,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2001,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2002,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
vimi,SH,981,9978,East Vancouver Island Winter,ENGLISHMAN RIVER,winter,2003,0,0.278,0.41,0.284,0.028,0,known age distributions,NA,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. "
