pse_region,species,cu_id,stream_id,cu_name,stream_name,run,year,peak_spawner_count,spawner_density,survey_distance,method,data_source,note
vimi,SH,984,10081,West Vancouver Island Summer,HEBER RIVER,summer,1975,114,13.4,,snorkel,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ",Prior to 1999 both the “Peak counts” and “population estimation” have been estimated when surveys were not conducted during known peak times and/or surveys were not comprehensive in scope. Surveys since about 1999 surveys have been both comprehensive in scope and typically bracket peak abundance periods and therefore reflect a pretty good approximation of true abundance.
vimi,SH,984,10081,West Vancouver Island Summer,HEBER RIVER,summer,1976,108,12.7,,snorkel,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ",Prior to 1999 both the “Peak counts” and “population estimation” have been estimated when surveys were not conducted during known peak times and/or surveys were not comprehensive in scope. Surveys since about 1999 surveys have been both comprehensive in scope and typically bracket peak abundance periods and therefore reflect a pretty good approximation of true abundance.
vimi,SH,984,10081,West Vancouver Island Summer,HEBER RIVER,summer,1977,168,19.8,,snorkel,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ",Prior to 1999 both the “Peak counts” and “population estimation” have been estimated when surveys were not conducted during known peak times and/or surveys were not comprehensive in scope. Surveys since about 1999 surveys have been both comprehensive in scope and typically bracket peak abundance periods and therefore reflect a pretty good approximation of true abundance.
vimi,SH,984,10081,West Vancouver Island Summer,HEBER RIVER,summer,1978,100,11.8,,snorkel,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ",Prior to 1999 both the “Peak counts” and “population estimation” have been estimated when surveys were not conducted during known peak times and/or surveys were not comprehensive in scope. Surveys since about 1999 surveys have been both comprehensive in scope and typically bracket peak abundance periods and therefore reflect a pretty good approximation of true abundance.
vimi,SH,984,10081,West Vancouver Island Summer,HEBER RIVER,summer,1979,196,23.1,,snorkel,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ",Prior to 1999 both the “Peak counts” and “population estimation” have been estimated when surveys were not conducted during known peak times and/or surveys were not comprehensive in scope. Surveys since about 1999 surveys have been both comprehensive in scope and typically bracket peak abundance periods and therefore reflect a pretty good approximation of true abundance.
vimi,SH,984,10081,West Vancouver Island Summer,HEBER RIVER,summer,1980,324,38.1,,snorkel,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ",Prior to 1999 both the “Peak counts” and “population estimation” have been estimated when surveys were not conducted during known peak times and/or surveys were not comprehensive in scope. Surveys since about 1999 surveys have been both comprehensive in scope and typically bracket peak abundance periods and therefore reflect a pretty good approximation of true abundance.
vimi,SH,984,10081,West Vancouver Island Summer,HEBER RIVER,summer,1981,402,47.3,,snorkel,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ",Prior to 1999 both the “Peak counts” and “population estimation” have been estimated when surveys were not conducted during known peak times and/or surveys were not comprehensive in scope. Surveys since about 1999 surveys have been both comprehensive in scope and typically bracket peak abundance periods and therefore reflect a pretty good approximation of true abundance.
vimi,SH,984,10081,West Vancouver Island Summer,HEBER RIVER,summer,1982,392,46.1,,snorkel,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ",Prior to 1999 both the “Peak counts” and “population estimation” have been estimated when surveys were not conducted during known peak times and/or surveys were not comprehensive in scope. Surveys since about 1999 surveys have been both comprehensive in scope and typically bracket peak abundance periods and therefore reflect a pretty good approximation of true abundance.
vimi,SH,984,10081,West Vancouver Island Summer,HEBER RIVER,summer,1983,411,48.4,,snorkel,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ",Prior to 1999 both the “Peak counts” and “population estimation” have been estimated when surveys were not conducted during known peak times and/or surveys were not comprehensive in scope. Surveys since about 1999 surveys have been both comprehensive in scope and typically bracket peak abundance periods and therefore reflect a pretty good approximation of true abundance.
vimi,SH,984,10081,West Vancouver Island Summer,HEBER RIVER,summer,1984,562,66.1,,snorkel,"Mike McCulloch, Province of BC Fish and Wildlife Section - West Coast Region, 2022 Pers Comm. ",Prior to 1999 both the “Peak counts” and “population estimation” have been estimated when surveys were not conducted during known peak times and/or surveys were not comprehensive in scope. Surveys since about 1999 surveys have been both comprehensive in scope and typically bracket peak abundance periods and therefore reflect a pretty good approximation of true abundance.
