"","System","Year","Site","Species.Age","W.mean","Site Description","Site Reference (km)","Easting","Northing","Area","Date","fpu","percent.usable.area","adj.fpu"
"1","Englishman","1998","2","RB.0",1.1,"Martindale Road",3.11,407176,5461951,96.4,1998-07-15,17.5,0.53,33
"2","Englishman","1998","3","RB.0",0.7,"Allsbrook Canyon",3.84,407855,5461575,55.6,1998-07-14,7.2,0.616,11.7
"3","Englishman","1998","4","CO.0",4.2,"Grassy Bank",6.16,406923,5460354,154.7,1998-07-14,0.6,0.354,1.7
"4","Englishman","1998","4","RB.0",1.4,"Grassy Bank",6.16,406923,5460354,154.7,1998-07-14,11.6,0.545,21.3
"5","Englishman","1998","4","RB.1",13.1,"Grassy Bank",6.16,406923,5460354,154.7,1998-07-14,1.3,0.318,4.1
"6","Englishman","1998","5","CO.0",1.5,"Powerlines",6.6,406608,5460077,133.5,1998-06-26,6,0.139,43.2
"7","Englishman","1998","5","RB.0",0.7,"Powerlines",6.6,406608,5460077,133.5,1998-06-26,27.2,0.328,82.9
"8","Englishman","1998","5","RB.1",6.4,"Powerlines",6.6,406608,5460077,133.5,1998-06-26,0.7,0.402,1.7
"9","Englishman","1998","6","CO.0",1.6,"South Fork",8.23,405716,5459144,98.6,1998-07-13,20.9,0.756,27.6
"10","Englishman","1998","6","RB.0",0.9,"South Fork",8.23,405716,5459144,98.6,1998-07-13,12.4,0.717,17.3
"11","Englishman","1998","6","RB.1",10.2,"South Fork",8.23,405716,5459144,98.6,1998-07-13,3,0.186,16.1
"12","Englishman","1998","7","RB.0",1.2,"Side Channel Intake",9.62,404713,5459345,85,1998-07-14,8.5,0.821,10.4
"13","Englishman","1998","7","RB.2",14.8,"Side Channel Intake",9.62,404713,5459345,85,1998-07-14,1.2,NA,NA
"14","Englishman","1998","8","CO.0",1.8,"Englishman River Road",10.46,404214,5458815,70.1,1998-07-14,17.8,0.726,24.5
"15","Englishman","1998","8","RB.0",0.6,"Englishman River Road",10.46,404214,5458815,70.1,1998-07-14,25.4,0.281,90.4
