Stream,Reach,Site,Year,Size,Length Break (mm),Marked Pass 1,Caught Pass 2,Recaptured Pass 2,Capture Efficiency,Site Pop Estimate,Site Variance,Site SE,Site CI Low,Site CI High,Sample Site Length (m),Fish per Meter,Reach Length (m),Reach Expansion Factor,Reach Pop Estimate,Reach Variance,Reach CI 95%,Reach CI High,Reach CI Low,Precision,Stream Pop Estimate,Stream Variance,Stream CI 95%,Stream CI High,Stream CI Low
Aeneas Creek,Aeneas 16-1,OBMEP-1606,2017,short,95,97,103,47,0.485,211,252.778,15.899,180.171,242.495,150,1.409,495,3.3,697,2752.75,102.835,800.235,594.565,0.075,697,2752.75,102.835,800.235,594.565
Aeneas Creek,Aeneas 16-1,OBMEP-1606,2017,long,95,23,18,12,0.522,34,12.72,3.567,27.087,41.067,150,0.227,495,3.3,112,138.523,23.068,135.522,89.385,0.105,112,138.523,23.068,135.522,89.385
Aeneas Creek,Aeneas 16-1,OBMEP-1606,2018,short,105,46,32,6,0.13,221,4114.898,64.147,94.842,346.3,150,1.47,495,3.3,728,44811.239,414.906,1142.792,312.98,0.291,728,44811.239,414.906,1142.792,312.98
Aeneas Creek,Aeneas 16-1,OBMEP-1606,2018,long,105,28,20,16,0.571,35,5.619,2.371,30.177,39.47,150,0.232,495,3.3,115,61.195,15.333,130.25,99.585,0.068,115,61.195,15.333,130.25,99.585
Aeneas Creek,Aeneas 16-1,OBMEP-1606,2019,long,105,9,7,6,0.667,10,0.612,0.782,8.895,11.962,145,0.072,495,3.414,36,7.135,5.235,40.836,30.366,0.075,36,7.135,5.235,40.836,30.366
Aeneas Creek,Aeneas 16-1,OBMEP-1606,2019,short,105,20,23,14,0.7,33,7.56,2.75,27.211,37.989,145,0.225,495,3.414,111,88.104,18.397,129.687,92.892,0.084,111,88.104,18.397,129.687,92.892
Aeneas Creek,Aeneas 16-1,OBMEP-1606,2020,short,105,51,52,22,0.431,119,188.856,13.743,91.891,145.761,145,0.819,495,3.414,406,2200.928,91.952,497.599,313.696,0.116,406,2200.928,91.952,497.599,313.696
Aeneas Creek,Aeneas 16-1,OBMEP-1606,2020,long,105,7,4,4,0.571,7,0,0,7,7,145,0.048,495,3.414,24,0,0,23.897,23.897,0,24,0,0,23.897,23.897
Aeneas Creek,Aeneas 16-1,OBMEP-1606,2021,long,100,3,4,3,1,4,0,0,4,4,157,0.025,495,3.153,13,0,0,12.611,12.611,0,13,0,0,12.611,12.611
Aeneas Creek,Aeneas 16-1,OBMEP-1606,2021,short,100,78,70,35,0.449,155,176.042,13.268,128.8,180.811,157,0.986,495,3.153,488,1749.953,81.992,570.073,406.09,0.086,488,1749.953,81.992,570.073,406.09
Antoine Creek,Antoine 16-1,OBMEP-551,2019,long,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antoine Creek,Antoine 16-1,OBMEP-551,2019,short,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
