Area,Year,Estimated Total Spawner Returns,Estimated Wild Spawner Returns,Estimated Hatchery Spawner Returns,Colville Tribes Recovery Goal,Habitat Capacity NEQ,Delisting Criteria
Aeneas Creek-DS,2005,0,0,0,5,8,3
Aeneas Creek-DS,2006,0,0,0,5,8,3
Aeneas Creek-DS,2007,0,0,0,5,8,3
Aeneas Creek-DS,2008,0,0,0,5,8,3
Aeneas Creek-DS,2009,0,0,0,5,8,3
Aeneas Creek-DS,2010,0,0,0,5,8,3
Aeneas Creek-DS,2011,0,0,0,5,8,3
Aeneas Creek-DS,2012,0,0,0,5,8,3
Aeneas Creek-DS,2013,0,0,0,5,8,3
Aeneas Creek-DS,2014,3,2,1,5,8,3
Aeneas Creek-DS,2015,0,0,0,5,8,3
Aeneas Creek-DS,2016,18,18,0,5,8,3
Aeneas Creek-DS,2017,9,9,0,5,8,3
Aeneas Creek-DS,2018,5,5,0,5,8,3
Aeneas Creek-DS,2019,5,5,0,5,8,3
Aeneas Creek-DS,2020,3,3,0,5,8,3
Aeneas Creek-DS,2021,9,9,0,5,8,3
Antoine Creek-Lower DS,2006,3,3,0,50,45,30
Antoine Creek-Lower DS,2007,0,0,0,50,45,30
Antoine Creek-Lower DS,2008,0,0,0,50,45,30
Antoine Creek-Lower DS,2009,0,0,0,50,45,30
Antoine Creek-Lower DS,2010,0,0,0,50,45,30
Antoine Creek-Lower DS,2011,2,2,0,50,45,30
Antoine Creek-Lower DS,2012,31,23,8,50,45,30
Antoine Creek-Lower DS,2013,1,1,0,50,45,30
Antoine Creek-Lower DS,2014,0,0,0,50,45,30
Antoine Creek-Lower DS,2015,8,8,0,50,45,30
Antoine Creek-Lower DS,2016,72,51,21,50,45,30
Antoine Creek-Lower DS,2017,33,28,5,50,45,30
Antoine Creek-Lower DS,2018,27,9,18,50,45,30
Antoine Creek-Lower DS,2019,9,0,9,50,45,30
Antoine Creek-Lower DS,2020,30,2,28,50,45,30
Antoine Creek-Lower DS,2021,49,37,12,50,45,30
Bonaparte Creek-Lower DS,2005,153,95,58,20,8,11
Bonaparte Creek-Lower DS,2006,18,12,6,20,8,11
Bonaparte Creek-Lower DS,2007,204,178,26,20,8,11
Bonaparte Creek-Lower DS,2008,28,16,12,20,8,11
Bonaparte Creek-Lower DS,2009,43,34,9,20,8,11
Bonaparte Creek-Lower DS,2010,112,65,47,20,8,11
Bonaparte Creek-Lower DS,2011,12,2,10,20,8,11
Bonaparte Creek-Lower DS,2012,168,130,38,20,8,11
Bonaparte Creek-Lower DS,2013,82,60,22,20,8,11
Bonaparte Creek-Lower DS,2014,135,64,71,20,8,11
Bonaparte Creek-Lower DS,2015,138,75,63,20,8,11
