CONTAINER_ID,RELEASE_ID,WBODY_ID,WBODY_TYPE,NEW_WATERSHED_CODE,WATERBODY_IDENTIFIER,GAZETTED_NAME,SPECIES_CODE,SPECIES_NAME,BROOD_YEAR,HATCHERY_CODE,HATCHERY_NAME,RELEASE_DATE,YEAR,MONTH,DAY,EGGS_IND,STRAIN_NAME,STRAIN_WBODY_ID,SOURCE_NAME,SOURCE_WBODY_ID,ORIGIN,LIFE_STAGE,LIFE_STAGE_CODE,MARK_DESCRIPTION,MARK_DESCRIPTION_CODE,RELEASED_QUANTITY,AVERAGE_WEIGHT,RELEASE_MECHANISM,RELEASE_MECHANISM_CODE,RELEASE_SITE_NAME,RELEASE_SITE_CODE,GENOTYPE_NAME,GENOTYPE_CODE,WATER_TEMPERATURE,PH_LEVEL,COMMENTS,WITNESSED_IND,AGENCY_NAME,AGENCY_CODE,WBODY_ALIASES,PRIMARY_REGION_CODE,PRIMARY_REGION_NAME
6774,23506,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2005,FVH,FRASER VALLEY HATCHERY,2.01E+13,2006,7,17,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,73,95.9,SITE,S,ALOUETTE RIVER CORRECTIONS,ARU,Diploid,2N,15,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
57636,22980,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2008,FVH,FRASER VALLEY HATCHERY,2.01E+13,2009,5,28,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,11004,59.5,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Winter Run,WR,15,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
57637,22981,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2008,FVH,FRASER VALLEY HATCHERY,2.01E+13,2009,5,28,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,9971,59.2,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Winter Run,WR,15,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6656,23503,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,1981,FVH,FRASER VALLEY HATCHERY,1.98E+13,1981,7,2,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Fry,FR,No Mark,NONE,18755,1.6,TRUCK,T,MAIN - FVH,MAIN,Diploid,2N,12,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
6670,23505,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,1983,FVH,FRASER VALLEY HATCHERY,1.98E+13,1984,5,23,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,10261,59.5,TRUCK,T,ALOUETTE NET PENS,ANP,Diploid,2N,9,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
66193,22976,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2014,FVH,FRASER VALLEY HATCHERY,2.02E+13,2015,5,20,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,5427,78.3,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Winter Run,WR,15,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
66194,22981,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2014,FVH,FRASER VALLEY HATCHERY,2.02E+13,2015,5,20,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,17290,71.4,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Winter Run,WR,15,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
66192,22976,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2014,FVH,FRASER VALLEY HATCHERY,2.02E+13,2015,5,12,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,10692,75.8,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Winter Run,WR,12,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
67602,22981,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2015,FVH,FRASER VALLEY HATCHERY,2.02E+13,2016,5,24,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,11618,81.8,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Winter Run,WR,13,,,N,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
67603,22976,262,S,100-026700-06000-00000-0000-0000-000-000-000-000-000-000,00000LFRA,ALOUETTE RIVER,ST,Steelhead,2015,FVH,FRASER VALLEY HATCHERY,2.02E+13,2016,5,24,N,SOUTH ALOUETTE R,262,SOUTH ALOUETTE R,262,Wild,Smolt,SM,Adipose,AD,11258,80,TRUCK,T,ALOUETTE RIVER CORRECTIONS,ARU,Winter Run,WR,13,,,Y,"FFSBC",F,"FENTON ROAD SLOUGH, SOUTH ALOUETTE RIVER",2,Lower Mainland
