"Conservation.Unit.Name","Species","Year","Abundance","Latitude","Longitude","Enumeration.Location.Name.Description","Enumeration.Method"
"East Vancouver Island Winter","Steelhead",2015,9,49.850802,-125.100656,"Black Creek","Fence"
"East Vancouver Island Winter","Steelhead",2016,1,49.850802,-125.100656,"Black Creek","Fence"
"East Vancouver Island Winter","Steelhead",2017,60,49.850802,-125.100656,"Black Creek","Fence"
"East Vancouver Island Winter","Steelhead",2018,20,49.850802,-125.100656,"Black Creek","Fence"
"East Vancouver Island Winter","Steelhead",2019,1,49.850802,-125.100656,"Black Creek","Fence"
"East Vancouver Island Winter","Steelhead",2020,9,49.850802,-125.100656,"Black Creek","Fence"
"East Vancouver Island Winter","Steelhead",2021,29,49.850802,-125.100656,"Black Creek","Fence"
"East Vancouver Island Winter","Steelhead",1977,2344,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1978,2104,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1979,6900,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1980,5500,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1981,11897,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1982,4000,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1983,6053,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1984,9726,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1985,9309,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1986,9823,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1987,13881,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1988,3328,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1989,4246,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1990,3133,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1991,5974,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1992,7143,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1993,5178,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1994,1461,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1995,1466,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1996,1520,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1997,1309,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1998,953,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",1999,2200,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2000,2344,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2001,2010,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2002,1892,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2003,4865,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2004,511,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2005,4676,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2006,2051,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2007,965,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2008,1455,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2009,1561,50.67593152,-127.3500607,"Keogh River","Fence"
"East Vancouver Island Winter","Steelhead",2010,1889,50.67593152,-127.3500607,"Keogh River","Fence"
