Conservation.Unit.Name,Species,Year,absolute_abundance,Latitude,Longitude,Enumeration.Location.Name.Description,Enumeration.Method,density_abundance
East Vancouver Island Winter,Steelhead,2015,9,49.850802,-125.100656,Black Creek,Fence,NA
East Vancouver Island Winter,Steelhead,2016,1,49.850802,-125.100656,Black Creek,Fence,NA
East Vancouver Island Winter,Steelhead,2017,60,49.850802,-125.100656,Black Creek,Fence,NA
East Vancouver Island Winter,Steelhead,2018,20,49.850802,-125.100656,Black Creek,Fence,NA
East Vancouver Island Winter,Steelhead,2019,1,49.850802,-125.100656,Black Creek,Fence,NA
East Vancouver Island Winter,Steelhead,2020,9,49.850802,-125.100656,Black Creek,Fence,NA
East Vancouver Island Winter,Steelhead,2021,29,49.850802,-125.100656,Black Creek,Fence,NA
East Vancouver Island Winter,Steelhead,1977,2344,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1978,2104,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1979,6900,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1980,5500,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1981,11897,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1982,4000,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1983,6053,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1984,9726,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1985,9309,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1986,9823,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1987,13881,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1988,3328,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1989,4246,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1990,3133,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1991,5974,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1992,7143,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1993,5178,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1994,1461,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1995,1466,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1996,1520,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1997,1309,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1998,953,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,1999,2200,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2000,2344,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2001,2010,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2002,1892,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2003,4865,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2004,511,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2005,4676,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2006,2051,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2007,965,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2008,1455,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2009,1561,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2010,1889,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2011,1638,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2012,3193,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2013,2620,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2014,2382,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2015,2981,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2016,2009,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2017,2396,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2018,1471,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2019,2169,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2020,2317,50.67593152,-127.3500607,Keogh River,Fence,NA
East Vancouver Island Winter,Steelhead,2021,2757,50.67593152,-127.3500607,Keogh River,Fence,NA
South Coast Winter,Steelhead,2010,18300,49.79119771,-123.1672473,Cheakamus,Electrofishing,NA
South Coast Winter,Steelhead,2011,3500,49.79119771,-123.1672473,Cheakamus,Electrofishing,NA
South Coast Winter,Steelhead,2012,19600,49.79119771,-123.1672473,Cheakamus,Electrofishing,NA
South Coast Winter,Steelhead,2013,11560,49.79119771,-123.1672473,Cheakamus,Electrofishing,NA
South Coast Winter,Steelhead,2014,45600,49.79119771,-123.1672473,Cheakamus,Electrofishing,NA
South Coast Winter,Steelhead,2015,7000,49.79119771,-123.1672473,Cheakamus,Electrofishing,NA
South Coast Winter,Steelhead,2016,14200,49.79119771,-123.1672473,Cheakamus,Electrofishing,NA
South Coast Winter,Steelhead,2017,10500,49.79119771,-123.1672473,Cheakamus,Electrofishing,NA
South Coast Winter,Steelhead,2018,9600,49.79119771,-123.1672473,Cheakamus,Electrofishing,NA
South Coast Winter,Steelhead,2020,11300,49.79119771,-123.1672473,Cheakamus,Electrofishing,NA
South Coast Winter,Steelhead,2010,2700,49.806974,-123.120242,Brohm,Electrofishing,NA
South Coast Winter,Steelhead,2011,1100,49.806974,-123.120242,Brohm,Electrofishing,NA
South Coast Winter,Steelhead,2012,2220,49.806974,-123.120242,Brohm,Electrofishing,NA
South Coast Winter,Steelhead,2013,1510,49.806974,-123.120242,Brohm,Electrofishing,NA
South Coast Winter,Steelhead,2014,2300,49.806974,-123.120242,Brohm,Electrofishing,NA
South Coast Winter,Steelhead,2015,800,49.806974,-123.120242,Brohm,Electrofishing,NA
South Coast Winter,Steelhead,2016,890,49.806974,-123.120242,Brohm,Electrofishing,NA
South Coast Winter,Steelhead,2017,1100,49.806974,-123.120242,Brohm,Electrofishing,NA
Mid Fraser Summer,Steelhead,2014,12183,50.67081909,-121.9533358,SETON RIVER,Electrofishing,NA
Mid Fraser Summer,Steelhead,2015,2017,50.67081909,-121.9533358,SETON RIVER,Electrofishing,NA
Mid Fraser Summer,Steelhead,2016,4082,50.67081909,-121.9533358,SETON RIVER,Electrofishing,NA
Mid Fraser Summer,Steelhead,2017,5236,50.67081909,-121.9533358,SETON RIVER,Electrofishing,NA
Mid Fraser Summer,Steelhead,2018,4648,50.67081909,-121.9533358,SETON RIVER,Electrofishing,NA
Mid Fraser Summer,Steelhead,2019,2606,50.67081909,-121.9533358,SETON RIVER,Electrofishing,NA
Kispiox,Steelhead,1980,NA,55.55680749,-127.9224601,KISPIOX RIVER,Electrofishing,9
Kispiox,Steelhead,1981,NA,55.55680749,-127.9224601,KISPIOX RIVER,Electrofishing,58
Kispiox,Steelhead,1982,NA,55.55680749,-127.9224601,KISPIOX RIVER,Electrofishing,19
Kispiox,Steelhead,1983,NA,55.55680749,-127.9224601,KISPIOX RIVER,Electrofishing,71
Kispiox,Steelhead,1984,NA,55.55680749,-127.9224601,KISPIOX RIVER,Electrofishing,49
Kispiox,Steelhead,1985,NA,55.55680749,-127.9224601,KISPIOX RIVER,Electrofishing,123
Kispiox,Steelhead,1986,NA,55.55680749,-127.9224601,KISPIOX RIVER,Electrofishing,112
Kispiox,Steelhead,1987,NA,55.55680749,-127.9224601,KISPIOX RIVER,Electrofishing,184
Kispiox,Steelhead,1988,NA,55.55680749,-127.9224601,KISPIOX RIVER,Electrofishing,68
Kispiox,Steelhead,1990,NA,55.55680749,-127.9224601,KISPIOX RIVER,Electrofishing,99
Kispiox,Steelhead,1991,NA,55.55680749,-127.9224601,KISPIOX RIVER,Electrofishing,116
Kispiox,Steelhead,1999,NA,55.55680749,-127.9224601,KISPIOX RIVER,Electrofishing,68
Middle Skeena,Steelhead,1991,NA,55.12023617,-128.0292238,KITWANGA RIVER,electrofishing,4
Middle Skeena,Steelhead,1992,NA,55.12023617,-128.0292238,KITWANGA RIVER,electrofishing,6
Morice,Steelhead,1991,NA,54.19065459,-127.0835508,MORICE RIVER,electrofishing,4
Morice,Steelhead,1992,NA,54.19065459,-127.0835508,MORICE RIVER,electrofishing,2
Upper Skeena Headwaters,Steelhead,1991,NA,56.32746983,-127.2023541,SUSTUT RIVER,electrofishing,1
Upper Skeena Headwaters,Steelhead,1992,NA,56.32746983,-127.2023541,SUSTUT RIVER,electrofishing,5
Upper Skeena Headwaters,Steelhead,1993,NA,56.32746983,-127.2023541,SUSTUT RIVER,electrofishing,4
Skeena Coastal Summers,Steelhead,1991,NA,54.46440391,-128.196785,ZYMOETZ RIVER,electrofishing,4
Skeena Coastal Summers,Steelhead,1992,NA,54.46440391,-128.196785,ZYMOETZ RIVER,electrofishing,6
