"","CUID","Species","Year","avgescapelog"
"1","281","SH","1950",NA
"2","480","SH","1950",NA
"3","780","SH","1950",NA
"4","781","SH","1950",NA
"5","981","SH","1950",NA
"6","984","SH","1950",NA
"7","985","SH","1950",NA
"8","281","SH","1951",NA
"9","480","SH","1951",NA
"10","780","SH","1951",NA
"11","781","SH","1951",NA
"12","981","SH","1951",NA
"13","984","SH","1951",NA
"14","985","SH","1951",NA
"15","281","SH","1952",NA
"16","480","SH","1952",NA
"17","780","SH","1952",NA
"18","781","SH","1952",NA
"19","981","SH","1952",NA
"20","984","SH","1952",NA
"21","985","SH","1952",NA
"22","281","SH","1953",NA
"23","480","SH","1953",NA
"24","780","SH","1953",NA
"25","781","SH","1953",NA
"26","981","SH","1953",NA
"27","984","SH","1953",NA
"28","985","SH","1953",NA
"29","281","SH","1954",NA
"30","480","SH","1954",NA
"31","780","SH","1954",NA
"32","781","SH","1954",NA
"33","981","SH","1954",NA
"34","984","SH","1954",NA
"35","985","SH","1954",NA
"36","281","SH","1955",NA
"37","480","SH","1955",NA
"38","780","SH","1955",NA
"39","781","SH","1955",NA
"40","981","SH","1955",NA
"41","984","SH","1955",NA
"42","985","SH","1955",NA
"43","281","SH","1956",NA
"44","480","SH","1956",NA
"45","780","SH","1956",NA
"46","781","SH","1956",NA
"47","981","SH","1956",NA
"48","984","SH","1956",NA
"49","985","SH","1956",NA
"50","281","SH","1957",NA
"51","480","SH","1957",NA
"52","780","SH","1957",NA
"53","781","SH","1957",NA
"54","981","SH","1957",NA
"55","984","SH","1957",NA
"56","985","SH","1957",NA
"57","281","SH","1958",NA
"58","480","SH","1958",NA
"59","780","SH","1958",NA
"60","781","SH","1958",NA
"61","981","SH","1958",NA
"62","984","SH","1958",NA
"63","985","SH","1958",NA
"64","281","SH","1959",NA
"65","480","SH","1959",NA
"66","780","SH","1959",NA
"67","781","SH","1959",NA
"68","981","SH","1959",NA
"69","984","SH","1959",NA
"70","985","SH","1959",NA
"71","281","SH","1960",NA
"72","480","SH","1960",NA
"73","780","SH","1960",NA
"74","781","SH","1960",NA
"75","981","SH","1960",NA
"76","984","SH","1960",NA
"77","985","SH","1960",NA
"78","281","SH","1961",NA
"79","480","SH","1961",NA
"80","780","SH","1961",NA
"81","781","SH","1961",NA
"82","981","SH","1961",NA
"83","984","SH","1961",NA
"84","985","SH","1961",NA
"85","281","SH","1962",NA
"86","480","SH","1962",NA
"87","780","SH","1962",NA
