"","CUID","Species","Year","LGL counts","NuSEDS counts by CU","Total run"
"1","280","SH","1950",NA,NA,NA
"2","281","SH","1950",NA,NA,NA
"3","282","SH","1950",NA,NA,NA
"4","283","SH","1950",NA,NA,NA
"5","284","SH","1950",NA,NA,NA
"6","285","SH","1950",NA,NA,NA
"7","286","SH","1950",NA,NA,NA
"8","287","SH","1950",NA,NA,NA
"9","288","SH","1950",NA,NA,NA
"10","289","SH","1950",NA,NA,NA
"11","290","SH","1950",NA,NA,NA
"12","480","SH","1950",NA,NA,NA
"13","481","SH","1950",NA,NA,NA
"14","680","SH","1950",NA,NA,NA
"15","681","SH","1950",NA,NA,NA
"16","682","SH","1950",NA,NA,NA
"17","683","SH","1950",NA,NA,NA
"18","780","SH","1950",NA,NA,NA
"19","781","SH","1950",NA,NA,NA
"20","782","SH","1950",NA,NA,NA
"21","783","SH","1950",NA,NA,NA
"22","784","SH","1950",NA,NA,NA
"23","785","SH","1950",NA,NA,NA
"24","880","SH","1950",NA,NA,NA
"25","980","SH","1950",NA,NA,NA
"26","981","SH","1950",NA,NA,NA
"27","982","SH","1950",NA,NA,NA
"28","983","SH","1950",NA,NA,NA
"29","984","SH","1950",NA,NA,NA
"30","985","SH","1950",NA,NA,NA
"31","1080","SH","1950",NA,NA,NA
"32","1081","SH","1950",NA,NA,NA
"33","1082","SH","1950",NA,NA,NA
"34","1083","SH","1950",NA,NA,NA
"35","1084","SH","1950",NA,NA,NA
"36","1380","SH","1950",NA,NA,NA
"37","280","SH","1951",NA,NA,NA
"38","281","SH","1951",NA,NA,NA
"39","282","SH","1951",NA,NA,NA
"40","283","SH","1951",NA,NA,NA
"41","284","SH","1951",NA,NA,NA
"42","285","SH","1951",NA,NA,NA
"43","286","SH","1951",NA,NA,NA
"44","287","SH","1951",NA,NA,NA
"45","288","SH","1951",NA,NA,NA
"46","289","SH","1951",NA,NA,NA
"47","290","SH","1951",NA,NA,NA
"48","480","SH","1951",NA,NA,NA
"49","481","SH","1951",NA,NA,NA
"50","680","SH","1951",NA,NA,NA
"51","681","SH","1951",NA,NA,NA
"52","682","SH","1951",NA,NA,NA
"53","683","SH","1951",NA,NA,NA
"54","780","SH","1951",NA,NA,NA
"55","781","SH","1951",NA,NA,NA
"56","782","SH","1951",NA,NA,NA
"57","783","SH","1951",NA,NA,NA
"58","784","SH","1951",NA,NA,NA
"59","785","SH","1951",NA,NA,NA
"60","880","SH","1951",NA,NA,NA
"61","980","SH","1951",NA,NA,NA
"62","981","SH","1951",NA,NA,NA
"63","982","SH","1951",NA,NA,NA
"64","983","SH","1951",NA,NA,NA
"65","984","SH","1951",NA,NA,NA
"66","985","SH","1951",NA,NA,NA
"67","1080","SH","1951",NA,NA,NA
"68","1081","SH","1951",NA,NA,NA
"69","1082","SH","1951",NA,NA,NA
"70","1083","SH","1951",NA,NA,NA
"71","1084","SH","1951",NA,NA,NA
"72","1380","SH","1951",NA,NA,NA
"73","280","SH","1952",NA,NA,NA
"74","281","SH","1952",NA,NA,NA
"75","282","SH","1952",NA,NA,NA
"76","283","SH","1952",NA,NA,NA
"77","284","SH","1952",NA,NA,NA
"78","285","SH","1952",NA,NA,NA
"79","286","SH","1952",NA,NA,NA
"80","287","SH","1952",NA,NA,NA
"81","288","SH","1952",NA,NA,NA
"82","289","SH","1952",NA,NA,NA
"83","290","SH","1952",NA,NA,NA
"84","480","SH","1952",NA,NA,NA
"85","481","SH","1952",NA,NA,NA
"86","680","SH","1952",NA,NA,NA
"87","681","SH","1952",NA,NA,NA
"88","682","SH","1952",NA,NA,NA
"89","683","SH","1952",NA,NA,NA
"90","780","SH","1952",NA,NA,NA
"91","781","SH","1952",NA,NA,NA
"92","782","SH","1952",NA,NA,NA
"93","783","SH","1952",NA,NA,NA
"94","784","SH","1952",NA,NA,NA
"95","785","SH","1952",NA,NA,NA
"96","880","SH","1952",NA,NA,NA
"97","980","SH","1952",NA,NA,NA
"98","981","SH","1952",NA,NA,NA
"99","982","SH","1952",NA,NA,NA
"100","983","SH","1952",NA,NA,NA
"101","984","SH","1952",NA,NA,NA
"102","985","SH","1952",NA,NA,NA
"103","1080","SH","1952",NA,NA,NA
"104","1081","SH","1952",NA,NA,NA
"105","1082","SH","1952",NA,NA,NA
"106","1083","SH","1952",NA,NA,NA
"107","1084","SH","1952",NA,NA,NA
"108","1380","SH","1952",NA,NA,NA
"109","280","SH","1953",NA,NA,NA
"110","281","SH","1953",NA,NA,NA
"111","282","SH","1953",NA,NA,NA
"112","283","SH","1953",NA,NA,NA
"113","284","SH","1953",NA,NA,NA
"114","285","SH","1953",NA,NA,NA
"115","286","SH","1953",NA,NA,NA
"116","287","SH","1953",NA,NA,NA
"117","288","SH","1953",NA,NA,NA
"118","289","SH","1953",NA,NA,NA
"119","290","SH","1953",NA,NA,NA
"120","480","SH","1953",NA,NA,NA
"121","481","SH","1953",NA,NA,NA
"122","680","SH","1953",NA,NA,NA
"123","681","SH","1953",NA,NA,NA
"124","682","SH","1953",NA,NA,NA
"125","683","SH","1953",NA,NA,NA
"126","780","SH","1953",NA,NA,NA
"127","781","SH","1953",NA,NA,NA
"128","782","SH","1953",NA,NA,NA
"129","783","SH","1953",NA,NA,NA
"130","784","SH","1953",NA,NA,NA
"131","785","SH","1953",NA,NA,NA
"132","880","SH","1953",NA,NA,NA
"133","980","SH","1953",NA,NA,NA
"134","981","SH","1953",NA,NA,NA
"135","982","SH","1953",NA,NA,NA
"136","983","SH","1953",NA,NA,NA
"137","984","SH","1953",NA,NA,NA
"138","985","SH","1953",NA,NA,NA
"139","1080","SH","1953",NA,NA,NA
"140","1081","SH","1953",NA,NA,NA
"141","1082","SH","1953",NA,NA,NA
"142","1083","SH","1953",NA,NA,NA
"143","1084","SH","1953",NA,NA,NA
"144","1380","SH","1953",NA,NA,NA
"145","280","SH","1954",NA,NA,NA
"146","281","SH","1954",NA,NA,NA
"147","282","SH","1954",NA,NA,NA
"148","283","SH","1954",NA,NA,NA
"149","284","SH","1954",NA,NA,NA
"150","285","SH","1954",NA,NA,NA
"151","286","SH","1954",NA,NA,NA
"152","287","SH","1954",NA,NA,NA
"153","288","SH","1954",NA,NA,NA
"154","289","SH","1954",NA,NA,NA
"155","290","SH","1954",NA,NA,NA
"156","480","SH","1954",NA,NA,NA
"157","481","SH","1954",NA,NA,NA
"158","680","SH","1954",NA,NA,NA
"159","681","SH","1954",NA,NA,NA
"160","682","SH","1954",NA,NA,NA
"161","683","SH","1954",NA,NA,NA
"162","780","SH","1954",NA,NA,NA
"163","781","SH","1954",NA,NA,NA
"164","782","SH","1954",NA,NA,NA
"165","783","SH","1954",NA,NA,NA
"166","784","SH","1954",NA,NA,NA
"167","785","SH","1954",NA,NA,NA
"168","880","SH","1954",NA,NA,NA
"169","980","SH","1954",NA,NA,NA
"170","981","SH","1954",NA,NA,NA
"171","982","SH","1954",NA,NA,NA
"172","983","SH","1954",NA,NA,NA
"173","984","SH","1954",NA,NA,NA
"174","985","SH","1954",NA,NA,NA
"175","1080","SH","1954",NA,NA,NA
"176","1081","SH","1954",NA,NA,NA
"177","1082","SH","1954",NA,NA,NA
"178","1083","SH","1954",NA,NA,NA
"179","1084","SH","1954",NA,NA,NA
"180","1380","SH","1954",NA,NA,NA
"181","280","SH","1955",NA,NA,NA
"182","281","SH","1955",NA,NA,NA
"183","282","SH","1955",NA,NA,NA
"184","283","SH","1955",NA,NA,NA
"185","284","SH","1955",NA,NA,NA
"186","285","SH","1955",NA,NA,NA
"187","286","SH","1955",NA,NA,NA
"188","287","SH","1955",NA,NA,NA
"189","288","SH","1955",NA,NA,NA
"190","289","SH","1955",NA,NA,NA
"191","290","SH","1955",NA,NA,NA
"192","480","SH","1955",NA,NA,NA
"193","481","SH","1955",NA,NA,NA
"194","680","SH","1955",NA,NA,NA
"195","681","SH","1955",NA,NA,NA
"196","682","SH","1955",NA,NA,NA
"197","683","SH","1955",NA,NA,NA
"198","780","SH","1955",NA,NA,NA
"199","781","SH","1955",NA,NA,NA
"200","782","SH","1955",NA,NA,NA
"201","783","SH","1955",NA,NA,NA
"202","784","SH","1955",NA,NA,NA
"203","785","SH","1955",NA,NA,NA
"204","880","SH","1955",NA,NA,NA
"205","980","SH","1955",NA,NA,NA
"206","981","SH","1955",NA,NA,NA
"207","982","SH","1955",NA,NA,NA
"208","983","SH","1955",NA,NA,NA
"209","984","SH","1955",NA,NA,NA
"210","985","SH","1955",NA,NA,NA
"211","1080","SH","1955",NA,NA,NA
"212","1081","SH","1955",NA,NA,NA
"213","1082","SH","1955",NA,NA,NA
"214","1083","SH","1955",NA,NA,NA
"215","1084","SH","1955",NA,NA,NA
"216","1380","SH","1955",NA,NA,NA
"217","280","SH","1956",NA,NA,NA
"218","281","SH","1956",NA,NA,NA
"219","282","SH","1956",NA,NA,NA
"220","283","SH","1956",NA,NA,NA
"221","284","SH","1956",NA,NA,NA
"222","285","SH","1956",NA,NA,NA
"223","286","SH","1956",NA,NA,NA
"224","287","SH","1956",NA,NA,NA
"225","288","SH","1956",NA,NA,NA
"226","289","SH","1956",NA,NA,NA
"227","290","SH","1956",NA,NA,NA
"228","480","SH","1956",NA,NA,NA
"229","481","SH","1956",NA,NA,NA
"230","680","SH","1956",NA,NA,NA
"231","681","SH","1956",NA,NA,NA
"232","682","SH","1956",NA,NA,NA
"233","683","SH","1956",NA,NA,NA
"234","780","SH","1956",NA,NA,NA
"235","781","SH","1956",NA,NA,NA
"236","782","SH","1956",NA,NA,NA
"237","783","SH","1956",NA,NA,NA
"238","784","SH","1956",NA,NA,NA
"239","785","SH","1956",NA,NA,NA
"240","880","SH","1956",NA,NA,NA
"241","980","SH","1956",NA,NA,NA
"242","981","SH","1956",NA,NA,NA
"243","982","SH","1956",NA,NA,NA
"244","983","SH","1956",NA,NA,NA
"245","984","SH","1956",NA,NA,NA
"246","985","SH","1956",NA,NA,NA
"247","1080","SH","1956",NA,NA,NA
"248","1081","SH","1956",NA,NA,NA
"249","1082","SH","1956",NA,NA,NA
"250","1083","SH","1956",NA,NA,NA
"251","1084","SH","1956",NA,NA,NA
"252","1380","SH","1956",NA,NA,NA
"253","280","SH","1957",NA,NA,NA
