"","CUID","Species","Year","CDN catch","US catch"
"1","1080","SH","1950",NA,NA
"2","1080","SH","1951",NA,NA
"3","1080","SH","1952",NA,NA
"4","1080","SH","1953",NA,NA
"5","1080","SH","1954",NA,NA
"6","1080","SH","1955",NA,NA
"7","1080","SH","1956",NA,NA
"8","1080","SH","1957",NA,NA
"9","1080","SH","1958",NA,NA
"10","1080","SH","1959",NA,NA
"11","1080","SH","1960",NA,NA
"12","1080","SH","1961",NA,NA
"13","1080","SH","1962",NA,NA
"14","1080","SH","1963",NA,NA
"15","1080","SH","1964",NA,NA
"16","1080","SH","1965",NA,NA
"17","1080","SH","1966",NA,NA
"18","1080","SH","1967",NA,NA
"19","1080","SH","1968",NA,NA
"20","1080","SH","1969",NA,NA
"21","1080","SH","1970",NA,NA
"22","1080","SH","1971",NA,NA
"23","1080","SH","1972",NA,NA
"24","1080","SH","1973",NA,NA
"25","1080","SH","1974",NA,NA
"26","1080","SH","1975",NA,NA
"27","1080","SH","1976",NA,NA
"28","1080","SH","1977",NA,NA
"29","1080","SH","1978",NA,NA
"30","1080","SH","1979",NA,NA
"31","1080","SH","1980",NA,NA
"32","1080","SH","1981",NA,NA
"33","1080","SH","1982",NA,NA
"34","1080","SH","1983",NA,NA
"35","1080","SH","1984",NA,NA
"36","1080","SH","1985",NA,NA
"37","1080","SH","1986",NA,NA
"38","1080","SH","1987",NA,NA
"39","1080","SH","1988",NA,NA
"40","1080","SH","1989",NA,NA
"41","1080","SH","1990",NA,NA
"42","1080","SH","1991",NA,NA
"43","1080","SH","1992",NA,NA
"44","1080","SH","1993",NA,NA
"45","1080","SH","1994",NA,NA
"46","1080","SH","1995",NA,NA
"47","1080","SH","1996",NA,NA
"48","1080","SH","1997",NA,NA
"49","1080","SH","1998",NA,NA
"50","1080","SH","1999",NA,NA
"51","1080","SH","2000",NA,NA
"52","1080","SH","2001",NA,NA
"53","1080","SH","2002",NA,NA
"54","1080","SH","2003",NA,NA
"55","1080","SH","2004",NA,NA
"56","1080","SH","2005",NA,NA
"57","1080","SH","2006",NA,NA
"58","1080","SH","2007",NA,NA
"59","1080","SH","2008",NA,NA
"60","1080","SH","2009",NA,NA
"61","1080","SH","2010",NA,NA
"62","1080","SH","2011",NA,NA
"63","1080","SH","2012",NA,NA
"64","1080","SH","2013",NA,NA
"65","1080","SH","2014",NA,NA
"66","1080","SH","2015",NA,NA
"67","1080","SH","2016",NA,NA
"68","1080","SH","2017",NA,NA
"69","1080","SH","2018",NA,NA
"70","1080","SH","2019",NA,NA
"71","1080","SH","2020",NA,NA
"72","1080","SH","2021",NA,NA
"73","1080","SH","2022",NA,NA
"74","1081","SH","1950",NA,NA
"75","1081","SH","1951",NA,NA
"76","1081","SH","1952",NA,NA
"77","1081","SH","1953",NA,NA
