"","CUID","Species","Year","Total exploitation rate"
"1","280","SH","1950",NA
"2","281","SH","1950",NA
"3","282","SH","1950",NA
"4","283","SH","1950",NA
"5","284","SH","1950",NA
"6","285","SH","1950",NA
"7","286","SH","1950",NA
"8","287","SH","1950",NA
"9","288","SH","1950",NA
"10","289","SH","1950",NA
"11","290","SH","1950",NA
"12","480","SH","1950",NA
"13","481","SH","1950",NA
"14","680","SH","1950",NA
"15","681","SH","1950",NA
"16","682","SH","1950",NA
"17","683","SH","1950",NA
"18","780","SH","1950",NA
"19","781","SH","1950",NA
"20","782","SH","1950",NA
"21","783","SH","1950",NA
"22","784","SH","1950",NA
"23","785","SH","1950",NA
"24","880","SH","1950",NA
"25","980","SH","1950",NA
"26","981","SH","1950",NA
"27","982","SH","1950",NA
"28","983","SH","1950",NA
"29","984","SH","1950",NA
"30","985","SH","1950",NA
"31","1080","SH","1950",NA
"32","1081","SH","1950",NA
"33","1082","SH","1950",NA
"34","1083","SH","1950",NA
"35","1084","SH","1950",NA
"36","1380","SH","1950",NA
"37","280","SH","1951",NA
"38","281","SH","1951",NA
"39","282","SH","1951",NA
"40","283","SH","1951",NA
"41","284","SH","1951",NA
"42","285","SH","1951",NA
"43","286","SH","1951",NA
"44","287","SH","1951",NA
"45","288","SH","1951",NA
"46","289","SH","1951",NA
"47","290","SH","1951",NA
"48","480","SH","1951",NA
"49","481","SH","1951",NA
"50","680","SH","1951",NA
"51","681","SH","1951",NA
"52","682","SH","1951",NA
"53","683","SH","1951",NA
"54","780","SH","1951",NA
"55","781","SH","1951",NA
"56","782","SH","1951",NA
"57","783","SH","1951",NA
"58","784","SH","1951",NA
"59","785","SH","1951",NA
"60","880","SH","1951",NA
"61","980","SH","1951",NA
"62","981","SH","1951",NA
"63","982","SH","1951",NA
"64","983","SH","1951",NA
"65","984","SH","1951",NA
"66","985","SH","1951",NA
"67","1080","SH","1951",NA
"68","1081","SH","1951",NA
"69","1082","SH","1951",NA
"70","1083","SH","1951",NA
"71","1084","SH","1951",NA
"72","1380","SH","1951",NA
"73","280","SH","1952",NA
"74","281","SH","1952",NA
"75","282","SH","1952",NA
"76","283","SH","1952",NA
"77","284","SH","1952",NA
"78","285","SH","1952",NA
"79","286","SH","1952",NA
"80","287","SH","1952",NA
"81","288","SH","1952",NA
"82","289","SH","1952",NA
"83","290","SH","1952",NA
"84","480","SH","1952",NA
"85","481","SH","1952",NA
"86","680","SH","1952",NA
"87","681","SH","1952",NA
"88","682","SH","1952",NA
"89","683","SH","1952",NA
"90","780","SH","1952",NA
"91","781","SH","1952",NA
"92","782","SH","1952",NA
"93","783","SH","1952",NA
"94","784","SH","1952",NA
"95","785","SH","1952",NA
"96","880","SH","1952",NA
"97","980","SH","1952",NA
"98","981","SH","1952",NA
"99","982","SH","1952",NA
"100","983","SH","1952",NA
"101","984","SH","1952",NA
"102","985","SH","1952",NA
"103","1080","SH","1952",NA
"104","1081","SH","1952",NA
"105","1082","SH","1952",NA
"106","1083","SH","1952",NA
"107","1084","SH","1952",NA
"108","1380","SH","1952",NA
"109","280","SH","1953",NA
"110","281","SH","1953",NA
"111","282","SH","1953",NA
"112","283","SH","1953",NA
"113","284","SH","1953",NA
"114","285","SH","1953",NA
"115","286","SH","1953",NA
"116","287","SH","1953",NA
"117","288","SH","1953",NA
"118","289","SH","1953",NA
"119","290","SH","1953",NA
"120","480","SH","1953",NA
"121","481","SH","1953",NA
"122","680","SH","1953",NA
"123","681","SH","1953",NA
"124","682","SH","1953",NA
"125","683","SH","1953",NA
"126","780","SH","1953",NA
"127","781","SH","1953",NA
"128","782","SH","1953",NA
"129","783","SH","1953",NA
"130","784","SH","1953",NA
"131","785","SH","1953",NA
"132","880","SH","1953",NA
"133","980","SH","1953",NA
"134","981","SH","1953",NA
"135","982","SH","1953",NA
"136","983","SH","1953",NA
"137","984","SH","1953",NA
"138","985","SH","1953",NA
"139","1080","SH","1953",NA
"140","1081","SH","1953",NA
"141","1082","SH","1953",NA
"142","1083","SH","1953",NA
"143","1084","SH","1953",NA
"144","1380","SH","1953",NA
"145","280","SH","1954",NA
"146","281","SH","1954",NA
